"","Sample_names","Sample","Type","Stain","Dilution","Tank","Day","Timepoint","Feeding_status","Time_cont","Counts","BacterialDensity","AlgalDensity","PercentageHNA","HNADensity"
"1","A01 Algae.D3.3_FIXED_SG_10.fcs","Algae.D3.3","FIXED","SG",10,"Algae","D3","3","Algae",3.33333333333333,6520,1302176.95226683,1657679.24905133,78.4969325153374,1022168.96345117
"2","A01 Artemia.D14.3_FIXED_SG_10.fcs","Artemia.D14.3","FIXED","SG",10,"Artemia","D14","3","Artemia",14.3333333333333,26775,5339408.92593627,2193.59470346588,84.0522875816993,4487895.34559087
"3","A01 Extra.001_FIXED_SG_10.fcs","T1.D0.4.B","FIXED","SG",10,"T1","D0","4","B",0.458333333333333,655,130530.091669988,0,74.0458015267176,96652.0526106018
"4","A01 T1.D17.5.B_FIXED_SG_10.fcs","T1.D17.5.B","FIXED","SG",10,"T1","D17","5","B",17.5833333333333,8376,2772408.31457699,661.988613795843,42.0964660936008,1167085.92612207
"5","A01 T1.D2.1.B_FIXED_SG_10.fcs","T1.D2.1.B","FIXED","SG",10,"T1","D2","1","B",2.08333333333333,1839,610091.895299074,16919.3510931228,64.5459488852637,393789.602892877
"6","A01 T1.D6.6.B_FIXED_SG_10.fcs","T1.D6.6.B","FIXED","SG",10,"T1","D6","6","B",6.70833333333333,82963,27635909.3937375,29980.0133244504,74.4958596000627,20587608.2611592
"7","A01 T2.D10.2.B_FIXED_SG_10.fcs","T2.D10.2.B","FIXED","SG",10,"T2","D10","2","B",10.2083333333333,65681,21828182.1203058,5982.05383848455,55.1179184238973,12031239.6144899
"8","A01 T2.D14.7.B_FIXED_SG_10.fcs","T2.D14.7.B","FIXED","SG",10,"T2","D14","7","B",14.8333333333333,111278,36905677.8986469,331.652958344388,97.7713474361509,36083178.5619528
"9","A01 T2.D3.8.B_FIXED_SG_10.fcs","T2.D3.8.B","FIXED","SG",10,"T2","D3","8","B",3.95833333333333,9903,3279790.68689144,7948.59905941578,77.1887306876704,2531628.80042393
"10","A01 T3.D7.5.B_FIXED_SG_10.fcs","T3.D7.5.B","FIXED","SG",10,"T3","D7","5","B",7.58333333333333,76506,25395339.5737901,42820.1553475403,74.8163542728675,18999867.2243245
"11","A01 T4.D11.1.B_FIXED_SG_10.fcs","T4.D11.1.B","FIXED","SG",10,"T4","D11","1","B",11.0833333333333,95020,31606958.7200213,6320.06120480325,25.2778362450011,7989555.26727206
"12","A01 T4.D14.3.A_FIXED_SG_10.fcs","T4.D14.3.A","FIXED","SG",10,"T4","D14","3","A",14.3333333333333,22994,7646824.07715331,332.55736614566,76.5417065321388,5853009.64416362
"13","A01 T4.D15.6.B_FIXED_SG_10.fcs","T4.D15.6.B","FIXED","SG",10,"T4","D15","6","B",15.7083333333333,22673,7536313.77763005,0,54.3201164380541,4093734.41914575
"14","A01 T4.D4.3.A_FIXED_SG_10.fcs","T4.D4.3.A","FIXED","SG",10,"T4","D4","3","A",4.33333333333333,31123,6221364.89025707,7596.05005397193,78.5560517944928,4887258.62551473
"15","A01 T4.D4.3.B_FIXED_SG_10.fcs","T4.D4.3.B","FIXED","SG",10,"T4","D4","3","B",4.33333333333333,31123,6221364.89025707,7596.05005397193,78.5560517944928,4887258.62551473
"16","A01 T4.D4.7.B_FIXED_SG_10.fcs","T4.D4.7.B","FIXED","SG",10,"T4","D4","7","B",4.83333333333333,33216,11070154.974171,15330.7782036327,75.7677023121387,8387602.06632228
