"","TaxonOfInterest","rep","fold","RMSE(100 * Combined$Combined, 100 * Combined$TrueValue)","MAE(100 * Combined$Combined, 100 * Combined$TrueValue)","R2(100 * Combined$Combined, 100 * Combined$TrueValue)","sum(Combined$PredictedClass == Combined$TrueClass)/length(Combined$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM19_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM19_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg"
"Overall","Ppolymyxa",1,1,2.00153156017068,1.51776527285112,0.997335400535107,0.714285714285714,0,28.2726399244316,0,26.9807871865505,3.65485693828724,0.965309818779603,13.7920977022422,0,0,20.6726991618606,0,21.063361500137,0,0,0,100,70.6919528883659,0,32.6178569091964,8.88816590471376,0,16.3202156047492,20.4461959258152,0,0,27.2471266617148,0,1.10648500545318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.429482995156,25.4640319993908,0,0,0,0,0,0,0,0,0,0
"Overall1","Ppolymyxa",1,2,5.36595691467332,3.75669842481235,0.973673626886219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.5940297861507,0,0,0,0,0,0,0,0,0,0,13.7808292896403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8152734264942,9.40389728386551,0,0,0,0,0,0,0,0,0,0
"Overall2","Ppolymyxa",1,3,20.3327035906619,12.368672057271,0.608762434950792,1,0.225384202096645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1.83637594160251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4280238584997,0.735600199897804,0,0,0,0,0,0,0,0,0,0
"Overall3","Ppolymyxa",1,4,11.0254745130308,7.98773192827221,0.860790339702728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803198031035232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6881490043698,29.508652964595,0,0,0,0,0,0,0,0,0,0
"Overall4","Ppolymyxa",1,5,9.61143736963619,7.17749027707065,0.900232293088587,1,31.625875021857,3.64779513093093,0,1.18601899982806,0,2.07426782487175,1.7081495839861,5.41513122510666,0,8.32700777643952,0,0,0,0,0,100,64.3424186267413,0,11.3476998049508,38.7280531413725,0,0,11.7265995672667,5.79291435008392,0,5.42200704487643,0,5.39450630017744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.579730382136,18.0257633176866,0,0,0,0,0,0,0,0,0,0
"Overall5","Ppolymyxa",2,1,11.1583158678956,5.69713129790792,0.897441720776194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30.3234101013334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.2733977874988,21.7266022125012,0,0,0,0,0,0,0,0,0,0
"Overall6","Ppolymyxa",2,2,19.9572366937475,11.2190580010636,0.728513026912458,1,30.9294333863808,0,0,0,0,0,0,2.58741739549076,0,0,0,0,0,0,0,100,66.1551575537429,0,0,50.7949787711062,0,0,0,3.7790202810932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1060485720519,26.8939514279481,0,0,0,0,0,0,0,0,0,0
"Overall7","Ppolymyxa",2,3,11.8089206423556,8.87645933000872,0.841796915090839,0.833333333333333,72.1011166465386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75.0178233383656,0,0,40.6649980354853,0,0,0,0,0,0,0,5.9614614788285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0435143195444,0.995024201627081,0,0,0,0,0,0,0,0,0,0
"Overall8","Ppolymyxa",2,4,7.41885578074189,5.31787295218053,0.944956437687443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18813761963016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.940357259761,20.8715051206088,0,0,0,0,0,0,0,0,0,0
"Overall9","Ppolymyxa",2,5,6.73415681932369,5.41782862447124,0.959672973072818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7.66586876070067,0,0,0,0,0,0,0,0,0,0,10.0860329993004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7388828913602,17.1750841093394,0,0,0,0,0,0,0,0,0,0
"Overall10","Ppolymyxa",3,1,3.95267381557586,2.65043243974718,0.989983045752323,0.714285714285714,0,25.0699947118248,0,21.2602959470025,0,10.4091536923133,0,0,0,14.7144421128138,13.1277030842072,0,0,0,0,100,73.8172250427727,0,0,0,0,11.988701378306,29.9995388699597,0,0,18.8964317843562,0,1.40487533578512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0071098271041,29.5880148371108,0,0,0,0,0,0,0,0,0,0
"Overall11","Ppolymyxa",3,2,6.76299061133417,4.07963078564943,0.959632065667313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,35.6246485208625,0,0,0,0,0,0,0,0,0,0,0.148921900215954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0122208950932,32.8388572046908,0,0,0,0,0,0,0,0,0,0
"Overall12","Ppolymyxa",3,3,21.1483854109097,11.897129042365,0.61532931785784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,32.5498037824328,0,0,0,0,0,0,0,0,0,0,12.0314081063121,0,0,0,0,0,0,0,0,0,0,0,0.513277760643506,3.82385840270836,0,46.9693298164708,16.8348215728682,0,0,10.3025413255013,1.59467910820735,0,0,0,6.74869552286129,0,1.18138838442722
"Overall13","Ppolymyxa",3,4,13.0043657466612,10.5785173458126,0.819807425477428,1,36.8749093025909,4.86392397931489,0,7.5491288531704,0,1.78685587180994,0,6.05576473487234,3.6624774697075,9.88104187085052,1.9002872289307,0,0,5.11101181668201,0,100,76.9819200187046,0,5.84613717572179,62.1639048814374,0,0,6.64506871480673,6.32160539238805,0,10.3469849022298,0,7.57367182509138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.727252713066,9.69907546184261,0,0,0,0,0,0,0,0,0,0
