"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue"
"0_0_100.fcs","Ppolymyxa",1,1,"Present","Absent",1.08535736521316e-10,1.08535736521316e-10,0
"0,007_0,003_99,99.fcs","Ppolymyxa",1,1,"Present","Absent",1.08535736521316e-10,1.08535736521316e-10,7e-05
"50_50_0.fcs","Ppolymyxa",1,1,"Present","Present",0.471857261638638,0.471857261638638,0.5
"70_10_20.fcs","Ppolymyxa",1,1,"Present","Present",0.674611609370478,0.674611609370478,0.7
"79_2_19.fcs","Ppolymyxa",1,1,"Present","Present",0.821602984582403,0.821602984582403,0.79
"80_4_16.fcs","Ppolymyxa",1,1,"Present","Present",0.780888909414332,0.780888909414332,0.8
"99,99_0,007_0,003.fcs","Ppolymyxa",1,1,"Present","Present",0.997971635059376,0.997971635059376,0.9999
"0_100_0.fcs","Ppolymyxa",1,2,"Absent","Absent",0.0307186631343089,0,0
"33_33_33.fcs","Ppolymyxa",1,2,"Present","Present",0.273904138010082,0.273904138010082,0.33
"53,3_4_42,7.fcs","Ppolymyxa",1,2,"Present","Present",0.649046280256326,0.649046280256326,0.533
"73_8_19.fcs","Ppolymyxa",1,2,"Present","Present",0.719802385650062,0.719802385650062,0.73
"80_1_19.fcs","Ppolymyxa",1,2,"Present","Present",0.850209157088449,0.850209157088449,0.8
"80_6_14.fcs","Ppolymyxa",1,2,"Present","Present",0.769718144672554,0.769718144672554,0.8
"100_0_0.fcs","Ppolymyxa",1,2,"Present","Present",0.999861879275212,0.999861879275212,1
"0_50_50.fcs","Ppolymyxa",1,3,"Absent","Absent",1.87105463981196e-05,0,0
"50_0_50.fcs","Ppolymyxa",1,3,"Present","Present",0.973844486757249,0.973844486757249,0.5
"60_1_39.fcs","Ppolymyxa",1,3,"Present","Present",0.654646531374401,0.654646531374401,0.6
"75_1_24.fcs","Ppolymyxa",1,3,"Present","Present",0.773506669471774,0.773506669471774,0.75
"80_10_10.fcs","Ppolymyxa",1,3,"Present","Present",0.674030848737749,0.674030848737749,0.8
"80_8_12.fcs","Ppolymyxa",1,3,"Present","Present",0.735846515429413,0.735846515429413,0.8
"0,003_99,99_0,007.fcs","Ppolymyxa",1,4,"Absent","Absent",0.00723943009087984,0,3e-05
"50_1_49.fcs","Ppolymyxa",1,4,"Present","Present",0.740259317632458,0.740259317632458,0.5
"60_10_30.fcs","Ppolymyxa",1,4,"Present","Present",0.541063380963023,0.541063380963023,0.6
