"","rep","fold","Cat","ID","Predicted","Real","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM19_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM19_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","OTU"
"0_0_100.fcs",1,1,"NOFS","0_0_100.fcs",0.000261359638495314,0,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"0,007_0,003_99,99.fcs",1,1,"NOFS","0,007_0,003_99,99.fcs",0.000261359638495314,7e-05,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"50_50_0.fcs",1,1,"NOFS","50_50_0.fcs",0.307381077709624,0.5,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"70_10_20.fcs",1,1,"NOFS","70_10_20.fcs",0.723389134652092,0.7,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"79_2_19.fcs",1,1,"NOFS","79_2_19.fcs",0.895868185473108,0.79,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"80_4_16.fcs",1,1,"NOFS","80_4_16.fcs",0.895311930110578,0.8,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"99,99_0,007_0,003.fcs",1,1,"NOFS","99,99_0,007_0,003.fcs",0.998687383037094,0.9999,4.96599465901187,35.4142270648521,0,18.7365144758984,11.3294079940213,12.4083929989815,20.4424000553375,8.49632369419255,1.06370788097313,34.6999718225987,13.4028211358101,20.7991022396184,6.67118436134357,7.34027779881019,10.0155480879248,100,64.8695452346514,7.87937981180343,15.2881696008193,20.4053791859786,1.02103387477339,19.3845078337226,30.566184354541,10.4327230141561,6.75591296419149,28.8193322367857,1.55945404141607,8.26342749979763,3.72847556769689,3.34445493201883,2.75606705378307,1.96002700510617,3.47892913008823,3.1646780630356,0.0369736919318579,1.17162173961127,2.64685636823372,3.29273232381077,3.51751691573264,3.20788143419067,2.81820286711253,0.447274935885474,17.3525101222252,6.12937040764009,3.97589355744101,2.4291712852235,4.51192766403132,1.70575898434719,4.14751731457354,3.62990645819712,2.29551960017672,5.45903219497225,2.40687706621525,2.1213958169215,"Ppolymyxa"
"0_0_100.fcs1",1,1,"FS","0_0_100.fcs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225964636706959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3226726854546,23.4513626778385,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"0,007_0,003_99,99.fcs1",1,1,"FS","0,007_0,003_99,99.fcs",0,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225964636706959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3226726854546,23.4513626778385,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
"50_50_0.fcs1",1,1,"FS","50_50_0.fcs",0.384372757192907,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225964636706959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3226726854546,23.4513626778385,0,0,0,0,0,0,0,0,0,0,"Ppolymyxa"
