"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)","AUC_ALL"
"1","Otu00001",1,11.8000271856568,5.58504729808441,0.650965789794148,0.94700766509434
"2","Otu00001",2,8.9174613418824,4.3085782309858,0.790704660972994,0.935617860851506
"3","Otu00001",3,11.164888338987,5.43745570219297,0.678939014724472,0.951963483553108
"4","Otu00002",1,13.0350243780213,6.40103782328094,0.447147106165864,0.910344344904815
"5","Otu00002",2,13.2035466401291,6.21769933969168,0.406540114324992,0.919162933930571
"6","Otu00002",3,13.2717199232713,5.70741569605559,0.313706074912559,0.872922776148583
"7","Otu00003",1,8.33845370396426,3.60423612718615,0.340319638352231,0.856397623532821
"8","Otu00003",2,6.59274461364373,3.14761381401777,0.531815440728787,0.810642857142857
"9","Otu00003",3,8.17085684324603,3.35045393501346,0.355320487056582,0.836561917061271
"10","Otu00004",1,12.7127448690554,4.70094986077842,0.157088030530215,0.796446608946609
"11","Otu00004",2,12.032235259797,4.58895762198854,0.222462372287699,0.793560606060606
"12","Otu00004",3,11.85678808023,3.92880314120731,0.252402976039849,0.798701298701299
"13","Otu00005",1,8.28500561363176,1.41252612746624,0.0154065815063385,0.837967401725791
"14","Otu00005",2,9.1222702994228,1.67820748014805,0.000270230413691305,0.883029721955896
"15","Otu00005",3,8.82771980423501,1.62715378741257,0.00372487311404409,0.799447174447175
"16","Otu00006",1,6.19113500682308,3.13038504251568,0.282382177431118,0.853812358276644
"17","Otu00006",2,9.20341241107338,4.13506206169049,0.0525614539184181,0.850198412698413
"18","Otu00006",3,7.0317548415727,3.46721786537437,0.172357084372097,0.859268707482993
"19","Otu00007",1,16.346499148449,4.6452309759888,0.149538692104774,0.936891233766234
"20","Otu00007",2,15.6826135019068,4.19689454156107,0.128612472993296,0.882508116883117
"21","Otu00007",3,14.7144531722959,3.7885889907125,0.0821658406387721,0.878123798539023
"22","Otu00008",1,6.17650646459272,2.03751301320211,0.499075413744554,0.83955223880597
"23","Otu00008",2,5.58683078751371,1.56037355280307,0.459050860786872,0.831428571428571
"24","Otu00008",3,6.64285942132631,2.0556524146498,0.355441663418329,0.84452736318408
"25","Otu00009",1,1.78523699575409,0.877384745151794,0.22242163167766,0.805049088359046
"26","Otu00009",2,1.56024258122125,0.828221362454966,0.423354410219419,0.768444444444444
"27","Otu00009",3,2.84085467246261,1.10101274196271,0.213216979567189,0.802023871302543
"28","Otu00010",1,6.32193464593946,1.49726086868391,0.657583688704329,0.848672161172161
"29","Otu00010",2,6.75711944001679,2.19379607221694,0.698307711939462,0.848904267589389
"30","Otu00010",3,7.45674047834852,1.8825922170322,0.501219786230121,0.810877021068104
"31","Otu00011",1,5.33271851919491,1.14945222726576,0.502298864201524,0.905
"32","Otu00011",2,7.38903510280175,1.84359152600952,0.179185080146588,0.920811892510006
"33","Otu00011",3,7.59213909182435,1.75144161319977,0.165814063330122,0.8790625
"34","Otu00012",1,7.73208558067572,1.96109530090477,0.172815393832027,0.898211050724638
"35","Otu00012",2,8.13649213636858,2.11834064013873,0.132010273104081,0.929329794293298
"36","Otu00012",3,3.0097701239669,1.03053085774424,0.448279868823591,0.942678115572058
"37","Otu00013",1,6.07784066831139,1.91821704819585,0.0363413207304201,0.6896
"38","Otu00013",2,5.33374887195757,1.54362291129336,0.0525682433600247,0.649801587301587
"39","Otu00013",3,5.40900489749052,1.60167613248578,0.106133745100195,0.74913019593481
"40","Otu00014",1,6.6240219997584,1.19823398771898,0.438711956540688,0.777472527472527
"41","Otu00014",2,4.25652276374476,0.991945697405068,0.764145905529895,0.811612903225806
"42","Otu00014",3,2.84399192970362,0.73300360463405,0.838954900112747,0.751347378735914
"43","Otu00015",1,7.3019807494493,1.84444444968271,0.00649476996307009,0.863854895104895
"44","Otu00015",2,2.83498607556564,1.44422245208474,0.124352987340137,0.83873820754717
"45","Otu00015",3,2.08404244326125,1.19360290932691,0.354296498983141,0.865530303030303
"46","Otu00016",1,3.95679806698421,1.32047439085693,0.254021345167044,0.908290535583272
"47","Otu00016",2,10.0917260062779,2.63181417041471,0.0382801402184435,0.934047619047619
"48","Otu00016",3,4.91031660516262,1.68094675271023,0.108970898587157,0.875880281690141
"49","Otu00017",1,3.46347224504411,1.08168559436601,0.684473550049032,0.841880341880342
"50","Otu00017",2,3.59112249343668,1.23165988411132,0.581738658390211,0.901931034482759
"51","Otu00017",3,3.68839506743682,1.21476364975166,0.448280429037977,0.884081196581197
"52","Otu00018",1,9.78147447484942,1.97163947266995,0.359227957740968,0.944145026947575
"53","Otu00018",2,3.46968862928285,0.714592408696679,0.896092426507683,0.968354430379747
"54","Otu00018",3,4.25437831671497,0.867319384210589,0.903373206702539,0.975992160705537
"55","Otu00019",1,3.66787216099055,0.898637055924841,0.134121622998689,0.728370221327968
"56","Otu00019",2,3.81925469630466,1.00203830059888,0.278530574859791,0.686832264957265
"57","Otu00019",3,4.00787267698854,1.09446216146724,0.0966294509820578,0.706991951710262
"58","Otu00020",1,4.32153180032596,1.13153240045909,0.699240543570241,0.939331501831502
"59","Otu00020",2,4.78184571615836,1.22808641699255,0.670700311053059,0.902253797158256
"60","Otu00020",3,3.75170508087144,0.99923711461854,0.734618535531513,0.962289029535865
"61","Otu00022",1,4.67850369987939,1.58310279284032,0.000731683918953678,0.788267288267288
"62","Otu00022",2,3.41062420255267,1.10724483454089,0.000169486807186101,0.778307654683297
"63","Otu00022",3,3.86913971725345,1.14701390272249,0.00992673864591444,0.851228632478632
"64","Otu00024",1,3.12412639710694,0.657667482704974,0.831333807354636,0.803240740740741
"65","Otu00024",2,3.89758683591418,0.936450436376475,0.734413840500998,0.833719135802469
"66","Otu00024",3,4.70673288104247,1.00869471604554,0.691660278616923,0.832947530864197
"67","Otu00025",1,3.81723316614927,1.25034269239018,0.0137083304219989,0.917461482024945
"68","Otu00025",2,3.95326177905656,1.27783384845018,0.0311808194307257,0.909582494969819
"69","Otu00025",3,4.11432070187636,1.42900067188602,0.0625204858652025,0.905595238095238
"70","Otu00026",1,4.37977183230419,1.22435945551584,0.0691851500684646,0.957589285714286
"71","Otu00026",2,4.75855420080502,1.47935785444587,0.0551017142147335,0.921875
"72","Otu00026",3,5.83244579847772,1.55030813184916,0.150890492861705,0.949269480519481
"73","Otu00027",1,1.41579417530071,0.768317531801485,0.447836436954428,0.836642087351106
"74","Otu00027",2,1.47615780333246,0.809884047831455,0.396940039577852,0.821095037538912
"75","Otu00027",3,1.31883574904554,0.771712940721493,0.570123464790705,0.809155555555556
"76","Otu00028",1,2.9288126858849,0.716864581828022,0.559473992081328,0.913950829045169
"77","Otu00028",2,4.09379565527549,1.11241410200761,0.154790516732847,0.853344768439108
"78","Otu00028",3,4.12717643071523,0.981111043570352,0.174433683464308,0.813291139240506
"79","Otu00029",1,3.42831512777497,0.900925555864132,0.39198853829531,0.969387755102041
"80","Otu00029",2,3.29879015242111,1.0267056260045,0.295536264093019,0.946775114155251
"81","Otu00029",3,3.37245353699622,0.922192705121872,0.393063850802066,0.96361301369863
"82","Otu00030",1,1.5946244399471,0.71699056456832,0.172284010623459,0.845331101190476
"83","Otu00030",2,1.64150699930575,0.786201056167579,0.295941819968717,0.845779220779221
"84","Otu00030",3,2.28514152102039,0.947072154954052,0.0610933770794009,0.867899719495091
"85","Otu00032",1,1.34956210891055,0.516823312064624,0.424516364285826,0.844965517241379
"86","Otu00032",2,1.09556193468093,0.430898059502059,0.600133887959674,0.814212328767123
"87","Otu00032",3,1.01993224938774,0.4247456170033,0.650396861296807,0.888667076167076
"88","Otu00033",1,4.9793707000738,1.22708844647141,0.197848718593389,0.984704641350211
"89","Otu00033",2,4.64622322874463,1.16378667262904,0.344611301919859,0.973297403233709
"90","Otu00033",3,3.01740202982913,0.645265573424739,0.471324068362483,0.950685654008439
"91","Otu00034",1,2.66996015810588,0.593434443474519,0.129516138959224,0.967563837129055
