"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)"
"1","Otu00001",1,12.5702104049559,5.06933509553076,0.584351688029244
"2","Otu00001",2,10.3507026787468,4.47361895903925,0.677955467443082
"3","Otu00001",3,9.29224945277358,3.75866619681969,0.739518749405676
"4","Otu00002",1,5.66660703350425,2.31478690253353,0.501657286433159
"5","Otu00002",2,6.82592777582708,2.96577381406596,0.357065618003801
"6","Otu00002",3,10.899350575453,4.09686248330573,0.147274186246866
"7","Otu00003",1,2.35096361471027,1.32003411467584,0.614740655840639
"8","Otu00003",2,2.92369126171496,1.61939140360576,0.423335397799913
"9","Otu00003",3,3.86953206091109,1.93970611697199,0.284912299912217
"10","Otu00004",1,2.49688698370896,0.841304934335131,0.000713605768749654
"11","Otu00004",2,2.35810834218031,0.872237838108085,0.0729917741002768
"12","Otu00004",3,3.32801013686138,1.03976664258601,0.00863889375505158
"13","Otu00005",1,0.927725961782155,0.342116129731851,0.456482093038428
"14","Otu00005",2,1.07267353206111,0.407130156651016,0.319022647017004
"15","Otu00005",3,1.03496768538769,0.399909510191512,0.274542488673572
"16","Otu00006",1,7.06013776821604,4.21008374325409,0.424358666701749
"17","Otu00006",2,6.87646865133163,3.77445358002211,0.432515384864967
"18","Otu00006",3,7.12544433026667,4.15613570935804,0.311637338012303
"19","Otu00007",1,6.83515254969306,1.78309806928427,0.0507523794562271
"20","Otu00007",2,7.53986930710339,1.79048986435064,0.00352659591453111
"21","Otu00007",3,6.98731431560845,1.78635004037598,0.134863124930109
"22","Otu00008",1,8.05456065508463,2.94058135372227,0.346360875008635
"23","Otu00008",2,6.42320643726194,2.34793449886086,0.466588555017835
"24","Otu00008",3,6.59320725662148,2.22836383590129,0.343899070727503
"25","Otu00009",1,2.13383304120964,1.15242949337497,0.257261155223975
"26","Otu00009",2,2.0761056670448,0.954531858406571,0.38885498428114
"27","Otu00009",3,1.91259332445705,1.04362103440453,0.458078308051472
"28","Otu00010",1,9.09830731611686,2.82460750411583,0.297430810520144
"29","Otu00010",2,9.61624510562066,2.23018716756339,0.466697005781268
"30","Otu00010",3,7.33418768638715,1.90649263431528,0.684695923112068
"31","Otu00011",1,5.39875262433748,1.56176951233541,0.465098751781015
"32","Otu00011",2,6.82056348825622,1.72979268275486,0.0967689649953402
"33","Otu00011",3,7.49836213401088,2.19798201026078,0.0356059557567764
"34","Otu00013",1,2.50593552728356,0.896099645108738,0.230210738553199
"35","Otu00013",2,2.75320015686788,0.824822833850039,0.0859957788892579
"36","Otu00013",3,3.40536675982995,1.00201525405218,0.308803405378617
"37","Otu00014",1,1.82087924277573,0.403604238037618,0.000249749956453882
"38","Otu00014",2,2.05356199374209,0.534266879230734,0.0183982556192646
"39","Otu00014",3,1.81183212777576,0.391528173841638,0.00612968684038445
"40","Otu00015",1,1.05339233317797,0.594458283449919,0.12021237867466
"41","Otu00015",2,0.990784996045971,0.548927816361191,0.175220055839894
"42","Otu00015",3,1.03719632244795,0.564906955751386,0.140735602967694
"43","Otu00016",1,5.80500507393599,2.50287496732966,0.143604589531328
"44","Otu00016",2,4.79098022302206,1.78751968047958,0.386593050585553
"45","Otu00016",3,7.81692706952965,2.83601757650789,0.0974972937535258
"46","Otu00017",1,2.75225077298461,0.918646494295785,0.788712659998352
"47","Otu00017",2,3.51099939473667,1.11576050520319,0.699541163829588
"48","Otu00017",3,3.71343634032636,1.13713160227889,0.500861401279295
"49","Otu00018",1,10.1720832591598,2.20222590524667,0.480863468399637
"50","Otu00018",2,7.01020155491921,1.63792374633561,0.752029111479218
"51","Otu00018",3,10.8966702810401,2.25692192069227,0.666161455004934
"52","Otu00019",1,2.81526480549091,0.776667242595981,0.00279826411829901
"53","Otu00019",2,3.07410286515367,0.91595527008864,1.6591088111639e-06
"54","Otu00019",3,3.59021026390145,1.05941147568335,0.0105130449032808
"55","Otu00020",1,5.18541869680403,1.8458001674507,0.694938846839813
"56","Otu00020",2,11.599418050205,2.86379686280978,0.353339844671643
"57","Otu00020",3,5.15209059387894,1.83087273069383,0.685459066982919
"58","Otu00022",1,0.822891476536693,0.371523876766517,0.289791857260173
"59","Otu00022",2,0.780390997578196,0.33366878860499,0.424802360322624
"60","Otu00022",3,0.754166626799423,0.337558964508209,0.46355709467937
"61","Otu00024",1,6.92330541901561,2.30774316078522,0.488790802465862
"62","Otu00024",2,3.92159801941961,1.36688275566614,0.858017514695281
"63","Otu00024",3,3.16473889925247,1.05684401166735,0.91751492289587
"64","Otu00025",1,4.39934146668226,1.84554586973292,0.242153174646005
"65","Otu00025",2,5.18238290517945,2.02462073095488,0.0510083995247415
"66","Otu00025",3,4.31862218523148,1.62893812168567,0.323618052051869
"67","Otu00026",1,4.77988605329695,1.76215506074953,0.00399465607758908
"68","Otu00026",2,4.38693068335724,1.42009160026824,0.0510879049061005
"69","Otu00026",3,3.99375036075033,1.17710648220193,0.108370960333817
"70","Otu00027",1,1.97864343932514,0.933447157317959,0.598792648974924
"71","Otu00027",2,1.70446132979042,0.921660011618874,0.589933783657627
"72","Otu00027",3,1.43330363305431,0.851913745135598,0.638056046668625
"73","Otu00028",1,6.16762627464774,1.79015290638639,0.517854576301555
"74","Otu00028",2,4.64154908634364,1.25856779961057,0.330648453604126
"75","Otu00028",3,4.40559120824273,1.23872874410155,0.374351827981698
"76","Otu00029",1,11.0541407099898,2.7697751961002,0.092205562786405
"77","Otu00029",2,6.04746624511718,1.77961474904685,0.14984626052284
"78","Otu00029",3,8.18296154117642,2.40742588747561,0.226376796381413
"79","Otu00030",1,1.32511483693188,0.575209460867471,0.211749650337346
"80","Otu00030",2,1.7657176630342,0.645312017666548,0.106989617946151
"81","Otu00030",3,0.918188161539837,0.453531100856682,0.390704408745718
"82","Otu00032",1,3.5413116110947,0.879650255528182,0.127352125717784
"83","Otu00032",2,1.29161693415901,0.527653942123357,0.586536080701789
"84","Otu00032",3,0.998747795266677,0.408119124532553,0.791377992115936
"85","Otu00033",1,4.9464503188267,1.48671665400934,0.384505532564094
"86","Otu00033",2,5.34557593168499,1.72241890030194,0.342661147109346
"87","Otu00033",3,4.93854775889568,1.64646771362461,0.330445418853392
"88","Otu00034",1,3.91669481739158,1.16135703827926,0.0470323381251692
"89","Otu00034",2,3.03662914945678,0.829340035080349,0.412323251868939
"90","Otu00034",3,4.81044687376296,1.21503139014504,0.0710948863923095
"91","Otu00035",1,0.536768887911539,0.330241616117733,0.0974520357750957
"92","Otu00035",2,0.557560662777588,0.351348753170277,0.123132908596488
"93","Otu00035",3,0.547501510507892,0.344954767246077,0.0386596641087188
"94","Otu00036",1,3.35227845448874,1.05936330847305,0.00108063201244184
"95","Otu00036",2,3.07404166238009,0.994946849628612,0.0417097238490132
"96","Otu00036",3,3.67052545351392,1.24909052606439,0.00429119000853689
