"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)"
"1","Otu00001",1,9.91418878378389,5.25316455696202,0.757464116772856
"2","Otu00002",1,9.66921252667847,3.41772151898734,0.391495059138859
"3","Otu00003",1,5.83746086642888,3.41772151898734,0.450602947708095
"4","Otu00004",1,7.85872086734769,3.20253164556962,0.419542417251779
"5","Otu00005",1,4.83656955530375,1.49367088607595,0.500866888261297
"6","Otu00006",1,8.88534563698046,5,0.303800789856138
"7","Otu00007",1,12.0231843546257,3.13924050632911,1.81499430997543e-05
"8","Otu00008",1,5.61079429833494,1.83544303797468,0.717450073469185
"9","Otu00009",1,2.95750493542073,1.55696202531646,0.0615015402156847
"10","Otu00010",1,2.13470420089446,0.607594936708861,0.977219283885227
"11","Otu00011",1,6.88789067673722,2.32911392405063,0.246793793027542
"12","Otu00012",1,0.45003516037041,0.0506329113924051,NA
"13","Otu00013",1,4.64703526012669,1.9746835443038,0.00826851898584813
"14","Otu00014",1,2.97457581275428,0.645569620253165,0.565924939686307
"15","Otu00015",1,1.53028499041804,0.822784810126582,0.168420686649152
"16","Otu00016",1,4.39648881768743,1.88607594936709,0.55136391705692
"17","Otu00017",1,6.50608284023887,2.30379746835443,0.104696104624144
"18","Otu00018",1,0,0,NA
"19","Otu00019",1,2.88163104306475,0.683544303797468,0.00781900055878769
"20","Otu00020",1,10.5374557974657,3.69620253164557,0.00364576909095126
"21","Otu00022",1,1.70628028326629,0.582278481012658,0.218026999290047
"22","Otu00024",1,14.2509160265204,4.83544303797468,0.00360342739071904
"23","Otu00025",1,4.3428975918931,1.46835443037975,0.306355709019693
"24","Otu00026",1,4.80374326615074,1.86075949367089,0.000601938618432472
"25","Otu00027",1,1.3359678613583,0.645569620253165,0.664330130666945
"26","Otu00028",1,5.94489462916701,1.77215189873418,0.109740428443758
"27","Otu00029",1,4.29011227022548,1.21518987341772,0.395141834814687
"28","Otu00030",1,1.24270020417973,0.632911392405063,0.248489319655626
"29","Otu00032",1,1.28772196071251,0.518987341772152,0.643571329907711
"30","Otu00033",1,2.92522854240766,0.329113924050633,NA
"31","Otu00034",1,0.159111456835146,0.0253164556962025,NA
"32","Otu00035",1,0.656033342777212,0.354430379746835,0.11125
"33","Otu00036",1,4.16130456662361,1.51898734177215,4.61351352893652e-06
"34","Otu00037",1,2.54578330936234,0.632911392405063,0.900357561206943
"35","Otu00038",1,0.856841417760529,0.354430379746835,0.240603175543651
"36","Otu00039",1,0,0,NA
"37","Otu00040",1,4.39360870678699,0.924050632911392,0.176137790186452
"38","Otu00041",1,6.16338719959665,1.75949367088608,0.00306597109457023
"39","Otu00042",1,1.64201173310228,0.316455696202532,NA
"40","Otu00043",1,3.05643127714312,1.18987341772152,0.0240151276050564
"41","Otu00045",1,1.38710152220787,0.784810126582278,0.172252643929355
"42","Otu00046",1,0.914025731571428,0.379746835443038,0.069709004868135
"43","Otu00047",1,2.7627724105335,0.69620253164557,0.498587415683612
"44","Otu00048",1,6.04728205503634,2.79746835443038,0.00260493333195225
"45","Otu00049",1,1.4968320978366,0.670886075949367,0.287680988446189
"46","Otu00050",1,0.849422737711778,0.240506329113924,0.648113834610502
