"","OTUOfInterest","size","rep","fold","RMSE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","MAE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","R2(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","sum(CombinedNS$PredictedClass == CombinedNS$TrueClass)/length(CombinedNS$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM12_Class","GMM13_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM18_Class","GMM19_Class","GMM20_Class","GMM21_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM33_Class","GMM34_Class","GMM35_Class","GMM36_Class","GMM37_Class","GMM38_Class","GMM39_Class","GMM40_Class","GMM41_Class","GMM42_Class","GMM43_Class","GMM44_Class","GMM45_Class","GMM46_Class","GMM47_Class","GMM48_Class","GMM49_Class","GMM50_Class","GMM51_Class","GMM52_Class","GMM53_Class","GMM54_Class","GMM55_Class","GMM56_Class","GMM57_Class","GMM58_Class","GMM59_Class","GMM60_Class","GMM61_Class","GMM62_Class","GMM63_Class","GMM64_Class","GMM65_Class","GMM66_Class","GMM67_Class","GMM68_Class","GMM69_Class","GMM70_Class","GMM71_Class","GMM72_Class","GMM73_Class","GMM74_Class","GMM75_Class","GMM76_Class","GMM77_Class","GMM78_Class","GMM79_Class","GMM80_Class","Other_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM12_Reg","GMM13_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM18_Reg","GMM19_Reg","GMM20_Reg","GMM21_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","GMM33_Reg","GMM34_Reg","GMM35_Reg","GMM36_Reg","GMM37_Reg","GMM38_Reg","GMM39_Reg","GMM40_Reg","GMM41_Reg","GMM42_Reg","GMM43_Reg","GMM44_Reg","GMM45_Reg","GMM46_Reg","GMM47_Reg","GMM48_Reg","GMM49_Reg","GMM50_Reg","GMM51_Reg","GMM52_Reg","GMM53_Reg","GMM54_Reg","GMM55_Reg","GMM56_Reg","GMM57_Reg","GMM58_Reg","GMM59_Reg","GMM60_Reg","GMM61_Reg","GMM62_Reg","GMM63_Reg","GMM64_Reg","GMM65_Reg","GMM66_Reg","GMM67_Reg","GMM68_Reg","GMM69_Reg","GMM70_Reg","GMM71_Reg","GMM72_Reg","GMM73_Reg","GMM74_Reg","GMM75_Reg","GMM76_Reg","GMM77_Reg","GMM78_Reg","GMM79_Reg","GMM80_Reg","Other_Reg"
"Overall","Otu00001",1,1,1,20.027874754931,11.4636771429551,0.151889826905302,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61797107633198,0.861937259630506,2.44482504737462,1.70539939978373,3.69260705790905,0,1.68251416430804,0.713811248787446,1.82004275739384,0,0.452968778531196,1.17169434436825,2.09045865864704,0.159686714513753,0,0,0,0.336477208301271,0,0,0,3.37945572736054,1.49955939146406,0,2.07119013166078,0.907122329082652,0.684911259746744,1.23841360004388,1.92674030452498,1.62727582572731,1.60967621035073,0,0,0,1.15240028451105,2.50022774667828,0,1.74086747770567,0.210090634836185,4.44281614999195,2.19312998813361,0.672646532780873,0.469504311352009,9.62600807325734,4.43780886454139,1.46358127175766,1.6656912095576,0.631419585081038,1.90136777674772,0,0.650344669402428,1.81629034746067,0,0,1.38012108144566,1.81891533905386,1.6906316352794,0,0.855288816844354,0,2.27612561798075,1.45699491167728,0,0.870463921010383,0,2.85133284401874,3.11923290470787,0,0.942784082321727,2.33779689800528,0,1.19658032881677,1.31219038798131,0.721856403328154,1.80927800808963,3.86738855764926,1.01468569871607,0.209399143435635,0
"Overall1","Otu00001",1,1,2,26.1109400687584,15.1362576963472,0.157050019534576,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2140458731368,0,0,0,0,0,0,50.1236967199774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6899487073643,0,0,0,2.34227538138571,2.84719316660846,0,0,0,0,0,3.96934807996118,0,0,2.24112053061872,2.11302950742344,0,0,3.83879369833617,0,0,0,3.36390607645646,0,2.47723329879575,1.94694313012795,2.65102549192128,3.73258026796853,2.44293016229265,2.09699858085181,0,0,0,0,4.1447815067929,3.14850498521207,4.22149665077869,0,0,0.00598908284405805,0,0,0,2.43369797937008,0,3.01408215282236,2.61806376801829,0,0,5.24472527030911,3.85059379308327,1.20033314109898,0,2.61418326782466,3.46896325475601,0,1.06437244051449,4.69374217312223,3.08521419057037,0.740843490957252,0,0,0,0,0,0,1.80688724559776,0,0,1.60639991838471,0,0,0,0.768848084673883,0,3.10328234647556,3.35195225291912,0,3.17540355446688,0,0,3.13037902842078,1.44388304823836,0,0
"Overall2","Otu00001",1,1,3,14.8595358912816,8.54812024159217,0.44773356754398,0.75,33.4924667924927,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5886280439683,0,0,0,0,0,0,0,0,74.323073148091,0,0,0,0,0,0,0,0,32.9176556770352,0,0,0,0,0,0,0,0,48.385392832789,0,0,0,100,24.9616622309576,0,0,0,0,0,0,0,0,42.0039539395798,0,0,0,0,0,0,0,0,0,0,0,0,46.0275747629717,0,0,0,0,0,32.008297495642,0,0,48.7321017605701,2.0233914804964,0,0,8.47224438175308,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7663815220155,0,0,0,0,0,0,0,0,15.8329919935682,0,0,0,0,0,0,0,0,2.65991162210649,0,0,0,0,0,0,0,0,7.98207905202092,0,0,0,14.0982269087677,12.788314851831,0,0,0,0,5.16178129981827,0,0,0,15.0363943910182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12678126060997,0,0,4.35955954265679,5.71533317383397,0,0
"Overall3","Otu00001",1,1,4,14.2329437532326,9.17371494046442,0.468346290541937,0.684210526315789,10.8373761374343,2.76130352976867,0,0,3.11077512274277,0,68.4450326176863,0,44.3081407134336,1.26365600031747,3.8583895371125,7.53176563575149,0,14.3260122924142,33.8069192256864,0,0,8.78379991250998,10.3435271744844,5.6851034293509,5.41293994522064,0,5.96572952074527,45.0564704026104,2.11616004853209,0,14.0048207924883,3.40698307736688,4.0323284029589,0,20.2249208066531,4.12870691764185,9.48485903300411,0,8.18535484984387,18.9475787027895,7.0466597752691,7.2760594298211,2.03083512756507,3.2310751595362,0,16.1465343010408,0,4.00027837291568,0,100,2.94023850173962,5.77884816340765,6.13901482164353,29.6567769269204,1.29275298240791,0,35.7185215221826,0,3.92093739645009,0,5.46518551241226,0,9.109297436195,11.7369168929048,5.72954304931289,1.19498948685421,8.72630150335893,0.389540659827175,0,4.96311161496442,6.77834620125676,12.6635809080176,12.8996727285788,0,0,7.76678452893826,16.7577396578914,2.40878605832212,4.16047785813364,0,0,16.7268334509666,0.736660713975758,0,0,1.06463765918888,3.31345239683749,2.17475066666,0,1.72206834090912,0,12.3952287855271,0,4.91001162873549,1.60950333426424,1.12430318447716,2.04950872549237,0,2.01331743112191,3.84949682500446,0,0,0.994363278408301,3.8770241709646,0.725976825260818,0.507806682961043,0,1.44337858450013,5.06858435282949,0.390669629406653,0,2.73689353964134,1.15061991056975,1.36151815724756,0,2.7048424076087,0.778429873321463,1.10721487458834,0,0.719611501564611,0.0095044947854061,1.9026967813677,1.87901662239958,1.25920095607335,0.802359025098574,0,1.86177060595812,0,0.692869734920875,0,1.28146109082131,0.169135071914818,1.01072196327458,1.78624664456544,0.699217892968499,1.09840538457375,0,2.17244219199101,0,1.93295141499308,0,2.00145063008204,0,1.4187464609227,0.157238383081715,1.04887037689633,1.33338212685445,1.70764307804013,1.15304801964314,0,1.74445158959291,1.36868693519591,0.208158889486143,2.33542183627693,0,0,1.16316225965926,1.74195376925145,1.54690739633666,0.923253745222112,0,0,0.788235353879534,1.00817650678146,0,0
"Overall4","Otu00001",1,1,5,29.5639984412655,16.2951949880682,0.0116971515823035,0.684210526315789,0,0,0,0,0,0,43.5139840433747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3075363876891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6336754090454,31.4263771070506,0,0,0,0,0,0,0,0,40.9227727747607,0,0,0,0,0,0,0,0,0,18.5366203205561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5113915313335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1707469252558,0,0,0,0,0,0,0,0,0,0,0,0,3.8446308980144,0,0,0,0,0,0,0,0,5.35932136791303,4.90108181946518,0,0,0,0,0,0,0,0,21.6762071374619,0,0,0
"Overall5","Otu00001",1,2,1,25.5001008649834,13.9144710745979,0.00147564682480458,0.7,0,9.63979146550367,0,5.09803335835137,38.7273246824121,7.19822066534495,100,0,0,0,0,0,0,0,0,0,0,18.1954155333032,0,0,0,15.7942857617484,5.34995517405494,91.4207729751646,0,0,0,0,0,0,16.4184280310788,0,0,0,0,0,0,0,0,0,16.7678538695905,44.1763689697582,0,0,0,64.0859535972432,0,9.2847891916775,0,0,0,10.5936954265913,0,19.0746399004238,25.5324197464003,0,0,9.7914606803748,0,0,0,0,0,35.8279283975478,0,0,0,0,0,9.00669530990348,0,0,34.5657626992199,23.6538017497888,0,0,38.8317402813151,15.0346561565453,0,0,0,0,15.2238821126834,0,0,0,0,24.4163051172554,0,0,0,0,0,0,0,0,0,0,14.0381593396916,0,0.868035205125246,0,0,0,15.2269371019195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8677694236458,28.3589116996791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall6","Otu00001",1,2,2,16.4128397054816,9.61509780115811,0.139215823184026,0.714285714285714,0,0,3.29920332533754,0,0,0,0,0,11.9746801996596,41.886065915453,34.7498135715668,0,0,0,0,79.7413526311154,0,0,12.5620477649064,0,0,3.82163100687413,3.29488114565528,24.9651129915953,0,4.55732728189718,16.7154995261292,0,0,0,0,0,0,0,0,0,0,1.08160164911877,0,40.1569795237637,0,0,0,0,0,0,28.9939461047425,0,0,0,0,0,37.0704887792385,0,0,0,4.04444192280038,0,0,15.6635461240512,8.8947482383626,4.55690269432027,0,0,8.24655368584135,0,0,2.05215436953313,0,0,55.666049308779,6.99119938978559,0,0,0,0,0,100,0,0,0,0,0,3.19335980760175,0,0,0,0,1.95228366533617,7.61612254653731,2.72921625852131,5.24022402217433,0,0,0,0,6.47767352307178,0,0,1.40474331400517,0,0,1.40121225271778,3.74235658794589,7.46795602111048,0,2.01762474146896,4.0147941411738,0,0,0,0,0,0,0,0,0,0,0.809042123724771,0,4.82814513283172,0,0,0,0,0,0,5.48523003781531,0,0,0,0,0,12.5252377606517,0,0,0,1.78824071524471,0,0,2.09125717383725,4.91235946530371,4.20220175315706,0,0,1.69490890343921,0,0,0.0286156511884342,0,0,6.93820898549141,2.94455342616789,0,0,0,0,0,4.49443198948206,0,0,0
"Overall7","Otu00001",1,2,3,8.81750155925628,5.05641242601159,0.799401295587473,0.65,8.51626990990628,0,0,0,0,0,29.1662267690774,4.86510747938189,0,0,0,0,0,0,4.51837475340437,0,0,0,0,0,0,0,0,66.0451571765988,0,0,0,0,0,0,0,0,5.82833220881348,0,0,0,0,0,0,0,37.1303995431162,9.44466771030892,9.92677166758089,0,0,100,26.2351199014907,0,0,12.4056448880562,0,0,0,0,0,0,0,0,0,0,0,2.06918909063626,0,0,0,9.85638392233492,0,0,0,0,0,0,16.9430066728361,0,0,10.9587755680038,0,71.6330251384501,3.58218707401308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall8","Otu00001",1,2,4,14.5334440082654,8.21914123374537,0.525583856231375,0.684210526315789,52.0182070644809,9.71974655167646,3.76552168314269,0,2.52100418458652,1.52276533189047,54.5537471691146,26.1698223016114,0,0,1.00303113491772,10.8841450282558,0,21.8735671764969,26.5528902843183,0,2.44373027029968,4.73048158399829,10.1513807637348,0,0,0.697951916198293,3.03046269746279,100,6.05993262822947,0,2.69791505275506,1.4192019007738,5.60336360223073,6.45105528422458,0,2.93987940440969,19.7588415488823,0.98152715798876,3.20092963593543,0.103130435514614,8.35319660283161,8.09950943918139,13.3228736117566,0,0.665140703192496,19.350190384307,3.8657584593726,0,11.2308710718519,84.9102585309405,58.650191946765,4.98755398479282,1.56373775941311,2.41933444221634,13.7355362633642,9.59190493055834,0,23.1876780325482,0,10.7221980563222,10.3685294645916,22.744066267289,0.333619265756942,2.31411186747193,0,2.98156977803724,0.424043898040443,6.09248649908265,3.16973627359479,30.8833174108318,4.50616816600058,4.20981700395562,11.734839381133,0.239186917925446,3.61532505153502,59.4403829005651,47.2901993296649,0,1.89385059647443,8.39672917121139,10.9370142552594,27.5604789907231,28.9880801686327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall9","Otu00001",1,2,5,14.8207786517755,9.62887280272754,0.368593452306839,0.526315789473684,0,10.4346509054819,0.208108224376139,10.0695081579528,0,0,25.9997454062482,0,0,0,0,0,5.93539537837323,0,3.41387454153169,3.49735732860809,0,0,0,0,0,0,0,57.4481217743707,0,0,1.23712034538588,0,0,0,4.97690300095372,0,0,8.83103666919207,0,0,0,15.5456992072819,0,0,4.04989951859462,0,0,7.8531616141801,0,100,0,0,2.07870811773805,0,0,1.88500664594793,0,0,6.00460328221049,9.48389553572219,0,0,0,0,0,0,0,0,0,0,0,0,9.31118508067883,2.98511625171678,13.1150287280768,0,0,0,0,20.8565015988717,0,44.9026680773487,0,0,0,0,0,0,0,0,0,48.6785590624971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3214409375029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
