"","OTUOfInterest","rep","fold","RMSE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","MAE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","R2(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","sum(CombinedNS$PredictedClass == CombinedNS$TrueClass)/length(CombinedNS$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM12_Class","GMM13_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM18_Class","GMM19_Class","GMM20_Class","GMM21_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM33_Class","GMM34_Class","GMM35_Class","GMM36_Class","GMM37_Class","GMM38_Class","GMM39_Class","GMM40_Class","GMM41_Class","GMM42_Class","GMM43_Class","GMM44_Class","GMM45_Class","GMM46_Class","GMM47_Class","GMM48_Class","GMM49_Class","GMM50_Class","GMM51_Class","GMM52_Class","GMM53_Class","GMM54_Class","GMM55_Class","GMM56_Class","GMM57_Class","GMM58_Class","GMM59_Class","GMM60_Class","GMM61_Class","GMM62_Class","GMM63_Class","GMM64_Class","GMM65_Class","GMM66_Class","GMM67_Class","GMM68_Class","GMM69_Class","GMM70_Class","GMM71_Class","GMM72_Class","GMM73_Class","GMM74_Class","GMM75_Class","GMM76_Class","GMM77_Class","GMM78_Class","GMM79_Class","GMM80_Class","Other_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM12_Reg","GMM13_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM18_Reg","GMM19_Reg","GMM20_Reg","GMM21_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","GMM33_Reg","GMM34_Reg","GMM35_Reg","GMM36_Reg","GMM37_Reg","GMM38_Reg","GMM39_Reg","GMM40_Reg","GMM41_Reg","GMM42_Reg","GMM43_Reg","GMM44_Reg","GMM45_Reg","GMM46_Reg","GMM47_Reg","GMM48_Reg","GMM49_Reg","GMM50_Reg","GMM51_Reg","GMM52_Reg","GMM53_Reg","GMM54_Reg","GMM55_Reg","GMM56_Reg","GMM57_Reg","GMM58_Reg","GMM59_Reg","GMM60_Reg","GMM61_Reg","GMM62_Reg","GMM63_Reg","GMM64_Reg","GMM65_Reg","GMM66_Reg","GMM67_Reg","GMM68_Reg","GMM69_Reg","GMM70_Reg","GMM71_Reg","GMM72_Reg","GMM73_Reg","GMM74_Reg","GMM75_Reg","GMM76_Reg","GMM77_Reg","GMM78_Reg","GMM79_Reg","GMM80_Reg","Other_Reg"
"Overall","Otu00001",1,1,12.013004249109,5.5746755194413,0.491272529842793,0.8,0,39.7094318970847,0,0,0,0,49.9484936927958,0,0,12.8660084638818,3.6044178603011,0,9.70026162022442,11.3244794789958,0,4.22456026365573,0,0,0,16.7399652555171,0,0,14.480406701336,100,0,0,3.62235694385033,0,0,0,54.8624863001965,0,8.82705763298111,0,27.5041313649086,0,34.7884758298579,0,0,4.5282611191131,13.845283763828,0,7.66404561377844,0,0,95.2499672657829,24.1001629393816,0,1.35705854430575,0,0,0,0,0,22.0066455189897,32.0848306078685,8.97380270768211,8.38783669075003,21.4242308072566,19.2293721615063,0,0,7.62158441953244,0,0,0,0,0,0,10.0309622095523,0,0,0,0,11.8398926884097,3.11992861950269,0,66.3905676878881,0,0,0,0,0,0,0,0,0,17.9208401765924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.743634513141,0,0,0,0,0,0,19.9277930030025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2138962192894,7.88881125206891,0,0,0,0,0,0,0,17.3050248359059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall1","Otu00001",1,2,9.6928796385751,4.78214488172211,0.848021333070417,0.9,0,10.1240635386822,0,0,0,3.65772060290358,32.084092475447,0,0,9.30755219576036,9.17604768052965,0,31.637350778802,14.9063944658373,4.95232105156827,9.45365347233491,0,0,0,45.8179655651536,0,0,7.70915880013914,34.9175245699321,0,0,0.336976690500728,0,0,0,54.9454803750753,0,9.18560877371866,2.13328680308818,31.6847182155573,0.466574431146171,52.1289023198609,0,0,5.91179541994196,7.33022767439438,0,7.3379075072984,0,4.80043886100093,100,7.70544081012658,4.92652283976806,0.988304586132105,9.12045474874711,0,0,0,0,20.8290513114339,5.88435995333084,0,4.60844273059879,0,4.42986380183727,0,0,0,0,0,0,3.64220097528362,0,0,19.8280840005906,0,0,3.82705190833477,0,11.3833263713525,1.66046689202955,0,13.9200374583137,0,0,0,0,0,0,0,0,0,27.3101177496168,0,0,0,0,0,2.41090402431384,0,0,0,0,0,0,0,0,0,0,21.1895729338667,0,0,0,0,0,0,7.55740993829669,0,0,0,1.94013976328538,0.195634861019556,4.58098960434931,0,0,0,0,0,0,0,0,18.8922072701402,0,0,0,0,0,0,0,0,0,15.9230238551115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall2","Otu00001",1,3,6.92670091529094,3.67404513654489,0.859284499734882,0.95,0,32.4423362199491,0,0,0,0,57.1285077485792,0,0,17.1268794367846,5.02073989722241,13.0588279621958,13.117511296624,18.4053483794336,0,6.91928610505635,0,9.37554481042325,0,35.4952850433127,0,0,6.31920950974394,80.4192545633608,0,0,5.95875506638029,0,0,0,59.9072541238533,5.52467507386368,15.8978246558746,0,24.4271933780201,0,34.4783936819196,0,6.76079830834365,11.2015196526993,15.516425649318,0,15.8038950156042,4.88158756290007,0,100,16.6134381895235,0,2.69103560086401,18.1933607673732,0,0,0,0,31.2292348598625,10.1500653731789,10.9799708234471,4.28759369977063,10.9001135060923,11.2010345623892,0,0,0,0,0,0,6.49940725918676,0,0,11.0523238089628,2.05719116109698,0,6.33781143843759,0,13.3894594668261,13.1622672918759,0,35.6069628737164,0,0,0,0,10.4696872498422,0,0,0,0,21.037454820624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0246312132184,0,0,0,0,0,0,7.68694034045831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9055937837579,1.51938947581705,0,0,0,0,0,0,0,11.9090042304294,6.99043290332384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45686598252884,0
"Overall3","Otu00001",1,4,5.21257939357817,2.45913977833947,0.974483487842951,1,1.89654306083445,26.257239473359,0,1.35694141924388,0,2.69120842065675,63.957956274207,0,0,47.3516259181122,8.015325448428,6.2124817983231,11.6271041303181,4.28211104824014,2.13708597417379,11.6370152842772,0,22.4387978207181,5.51257537265649,35.308375409101,0,1.53082442076048,4.77107275228371,81.9792427273467,0,0,3.36646144835495,0,0,0,69.5552066976374,0.251298232599336,18.6906461953166,7.29197529212223,26.549912831314,2.91582473381649,48.277097216973,0,0,4.12495404638695,8.32073216787601,5.87860912384221,8.41912917218273,2.83105883426141,5.66988978537666,100,6.101532437606,4.05806318308031,7.29874705791458,31.4471119237157,0,0,0,1.58779645483909,20.4592230963231,7.13700288191287,40.7673500706476,12.8326638899217,24.7919192164846,5.50414470327394,0,0,0,0,0,0,5.79546683766502,0,0,6.27965705736541,0,6.62910149327343,12.3930891050092,0,33.6687794178661,14.8701199402675,0,43.794163858934,0,4.62238855892375,0,0,0,0,0,0,0,32.7389232741714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7318023689201,0,0,0,0,0,0,16.8406981859849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6885761709237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall4","Otu00001",1,5,22.2127531496234,9.05600358613633,0.263930584459437,0.842105263157895,9.46065553685502,7.56519271158507,0,0,0,0,78.8734952609843,0,1.02894246039619,17.342657287143,13.545315746228,0,10.548134510884,6.01294397340037,0,17.2864410793009,0,1.44504175900555,1.11062969337661,24.464693998995,4.02260532987939,7.15237223651525,4.73244351151153,100,0,0,0.223693060094609,0,0,0,28.2703668097175,2.7234083787398,4.48602448587867,0.905081250294905,57.8875723456676,4.63289767444214,77.3251226068321,0,2.43320871240936,20.2063750305672,12.9160143358732,4.34802042576197,3.5141995419915,1.66975713188907,2.4412296090253,94.5898462724733,7.09618602076221,1.12308779260223,1.91737195229449,11.3224283447967,0,0,2.46291353597184,5.14050562464335,5.48517159886659,7.33243093159071,4.20509260207495,2.08304407299761,7.81323846042581,4.66494333708119,6.02671244057171,0,1.0921321519078,0.283168759727231,0,0,1.77737961447861,8.44203164715705,1.73087584579759,5.93379457808241,0.520834941571608,9.58982346679207,10.9028018562858,0,5.97796393659655,0.253293791655931,0,38.737485867999,0,5.23434398490565,0,0,0,0,0,0,0,48.4342758505855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8970207299174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668703419497103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall5","Otu00001",2,1,8.6923836088485,4.12898068773043,0.695285254135832,0.9,0,49.6863528826949,0,0,0,28.7132392317444,64.8199971433616,0,0,29.7463010309627,21.3689706673789,0,27.7450805222688,34.6654503235792,0,30.45044923156,0,38.4315460564907,0,53.6653443180868,0,0,20.2094793011623,98.0767376622397,0,0,36.5377110423152,0,0,0,84.2131198580826,0,21.7730907498065,0,67.1321355446663,0,45.3133718418858,0,0,31.1713299492911,28.3597559026515,0,36.9044551957312,0,0,100,35.1155502652038,19.4023353354483,0,0,0,0,0,0,77.5135038665181,0,30.8858970827718,39.3009228651551,21.9077878070095,23.1870751941502,0,0,27.184962526483,0,0,0,0,0,0,0,0,0,0,0,23.7433388675537,28.1706855801414,0,82.9483111481782,0,0,0,0,29.2300464338232,0,0,0,0,18.0514623800833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3765934033431,0,0,0,0,0,0,9.25107690502009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0590723649634,0,0,0,0,0,0,0,0,0,5.03174851276692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall6","Otu00001",2,2,5.94805861765868,3.23652408737841,0.89301909127018,0.9,0,34.4137186043972,0,0,0,1.90155298559402,62.3076028199883,0,0,24.2471382891328,9.11731061689053,0,22.6207527161169,12.1506420979299,0,20.3634272415271,0,3.54369037704503,2.99538668155659,40.0842441940525,0,0,12.0862501832863,90.3198550646436,0,0,2.96855279983657,0,0,0,45.3805291516573,0,16.5835185925112,1.77056330975026,33.3470146182447,2.07979792594728,48.4080116420519,0,0,8.50857329164842,8.5362706155877,0,10.729804493227,4.58799649042855,4.67577573146649,100,20.2516640259658,5.92863339132149,17.8821036810713,7.35372843115619,0,0,3.62425626184242,0,20.5052331938488,30.0967927848329,13.1681119104059,7.75063048559141,12.3520343984453,0.528042862573086,0,0,0,0,0,0,0,0,7.42961717237701,12.7316698316549,0,0,1.7121639662753,1.44192084009369,14.7902041456246,8.54085590762848,0,19.6109116559931,0,0,0,0,11.255790159385,0,0,0,0,15.3321743445093,0,0,0,0,0,6.45042567881936,0,0,0,0,0,0,1.72729831697013,0,0,0,15.3095444046811,0,0,0,0,0,0,7.61973212268396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8515909958632,0,0,0,0,0,0,0,0,10.6161879741628,6.95138377165341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74948339115979,0,0,0,0,0.13638884011197,0
"Overall7","Otu00001",2,3,4.34088936931081,2.57424078327183,0.948323878161979,0.85,0,27.308227734615,0,0,0,3.80992524284774,53.0921305063391,0,0,15.3814254687712,4.75898367154885,0,15.3438567796104,11.861267652324,7.77715726956631,13.9789493407846,0,0,6.10628904443694,37.449016121477,0,0,8.34499116819384,68.0818219402937,0,0,12.2155189633315,0,0,0,72.0501286268328,2.32730233956168,18.138143770833,3.08663052937053,16.1346175874394,0,28.2578670765637,0,0,5.71970346033115,23.8191980163559,0,9.17923025101177,0,0,100,19.2042540015225,1.11182816875421,0,12.0555195189789,0,0,0,0,32.5267561076205,49.8791638043647,19.5660519943104,5.84714691924865,7.61709626078052,2.76974904774001,0,0,0,0,0,0,2.4238698237064,0,0,24.7744169534237,0,0,0,0,16.6939841547472,21.8707778198072,0,39.1243088965617,0,0,0,0,0,0,0,0,0,26.2151069325255,0,0,0,0,0,0,0,0,0,0,0,0,2.03965253694382,0,0,0,13.2059557634536,0,0,0,0,0,0,14.4353851954852,0,0,0,0,0,12.5567552576364,0,0,0,0,0,0,0,0,19.4805999591969,0,0,0,0,0,0,0,0,5.81029407825107,0,0,4.85650511553151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39974516097601,0,0,0,0,0
"Overall8","Otu00001",2,4,6.92643148040742,3.72197714480784,0.889879422662018,0.95,10.4954935977618,8.12744745531697,0,4.57306215183477,0,2.58965309503982,64.7326128774965,0,0,33.8802900121572,10.8485035391557,5.05162693386565,19.4332016069455,9.12138053174277,4.68914810052941,14.7187813780457,0,10.238348968273,4.43638683360305,32.7103943307509,0,21.3108412640634,5.15743408830051,100,3.17920841930983,0,0,0,0,0,30.1495251567778,3.17553324828431,14.9065402126004,2.84430550762145,44.7979816279029,0,53.0620164289579,0,0,9.58376667656318,30.755945845007,7.35268579564262,1.32909387844932,5.63536759618112,0,94.5146552075899,7.46423099370214,1.53510092825157,5.59227135935453,26.5270136294257,0,0,0,3.40777989900539,7.8240510277713,0,13.2195818883964,1.65285359616345,12.9313088350943,0.0800912777625598,0,0,1.92766938637486,0,0,0,2.27463863804216,0,0,13.730437881617,0,10.9075012734393,4.64239887081642,0,7.20049862669166,4.95159098837172,0,20.2783691775483,0,11.7330864219371,0,0,0,0,0,0,0,18.3330941610991,0,0,0,0,0,0,0,0,0,0,0,0,7.52311696794949,0,0,0,17.1872913458883,0,0,0,0,0,0,14.4941906399588,0,0,0,0,0,15.4099105294911,0,0,0,0,0,0,0,0,27.0523963556132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall9","Otu00001",2,5,19.2647119374158,8.92914857269031,0.156566512702641,0.894736842105263,13.5701490344203,37.7390602889664,0,0,0,9.55193994782993,61.5727823535921,0,17.7889696807741,35.5632215369129,43.5634300013816,0,34.1515086610697,33.0975253327484,16.658710486253,25.5309428322932,0,10.1826461209784,23.1273102765852,58.7325424619431,0,20.8351718364991,12.1711782613079,84.0964351370233,0,0,31.948119647158,0,0,0,42.8909183294606,15.1328104739499,37.9228080449716,4.69907302019633,55.4863509973475,24.8048425577783,59.2225276379922,0,11.1312643529362,27.0520975837972,24.3265671463841,7.59368207095715,24.3997927306576,9.62951534144022,3.32464208201453,100,34.973850613115,14.5054728274609,26.3678658837976,0,0,0,27.1217753391153,1.24648651005783,37.7985425760909,18.9117101477306,16.8858338833589,10.4186939250715,14.2466072543223,6.16423814902564,4.15098807971679,0,0,0,0,0,4.76410398016257,0,0,15.6881947368842,13.592917261379,2.16014201324675,16.9482481971836,0,43.3846711218663,12.3333153460242,0,48.4822528751139,0,14.7046499717086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
