"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00001",1,1,"Absent","Present",0.0092553956693318,0,0.0134294821549877,"15"
"9","Otu00001",1,1,"Absent","Absent",3.62059514586063e-05,0,0,"9"
"72","Otu00001",1,1,"Absent","Absent",0.00834103655743605,0,0,"72"
"107","Otu00001",1,1,"Absent","Absent",0.0175882693663044,0,0,"107"
"3","Otu00001",1,1,"Absent","Absent",0.0020242412771516,0,0,"3"
"20","Otu00001",1,1,"Absent","Present",0.292574226480986,0,0.266687110293366,"20"
"32","Otu00001",1,1,"Present","Present",0.402412904746925,0.402412904746925,0.374156958920907,"32"
"46","Otu00001",1,1,"Absent","Present",0.131224539193213,0,0.38863624750907,"46"
"61","Otu00001",1,1,"Absent","Absent",0.0103615312036712,0,0.0015865704488459,"61"
"75","Otu00001",1,1,"Absent","Absent",0.0156839497623788,0,0.00143171243033185,"75"
"88","Otu00001",1,1,"Absent","Absent",0.0850302410170349,0,0.0014167889490462,"88"
"96","Otu00001",1,1,"Absent","Absent",0.0161721449828897,0,0.000813752415827484,"96"
"103","Otu00001",1,1,"Absent","Absent",0.00303056100585861,0,0.00238336713995943,"103"
"111","Otu00001",1,1,"Absent","Absent",0.000483833168970386,0,0.000616681227195642,"111"
"119","Otu00001",1,1,"Present","Absent",0.294841664476952,0.294841664476952,0.000152439024390244,"119"
"27","Otu00001",1,1,"Present","Present",0.182341618956809,0.182341618956809,0.323067509687946,"27"
"69","Otu00001",1,1,"Absent","Absent",0.00166789367397215,0,0.00123089547645912,"69"
"35","Otu00001",1,1,"Present","Present",0.374112942068619,0.374112942068619,0.517439180537772,"35"
"70","Otu00001",1,1,"Absent","Absent",0.138668018327053,0,0.00594902302682189,"70"
"152","Otu00001",1,1,"Absent","Absent",0.0117649955762236,0,0.00677457723535192,"152"
"158","Otu00001",1,1,"Absent","Absent",0.00127643276614593,0,0,"158"
"173","Otu00001",1,1,"Present","Present",0.299392153691475,0.299392153691475,0.306553911205074,"173"
"181","Otu00001",1,1,"Absent","Present",0.690451480762754,0,0.0134930971607189,"181"
"190","Otu00001",1,1,"Absent","Absent",0.0423522951554224,0,0.00220114249777265,"190"
"199","Otu00001",1,1,"Absent","Absent",0.116669571100768,0,0.00649042266898844,"199"
"208","Otu00001",1,1,"Present","Present",0.0696817278372293,0.0696817278372293,0.150057333472324,"208"
"215","Otu00001",1,1,"Absent","Absent",0.000445014182144571,0,0,"215"
"225","Otu00001",1,1,"Present","Present",0.739051539467461,0.739051539467461,0.65531195574224,"225"
"237","Otu00001",1,1,"Present","Present",0.221839621208487,0.221839621208487,0.207425768683086,"237"
"248","Otu00001",1,1,"Absent","Absent",0.00473762675761076,0,0,"248"
"11","Otu00001",1,1,"Absent","Absent",0.0348949098460999,0,0.00354332760147986,"11"
"163","Otu00001",1,1,"Absent","Absent",0.268956933705638,0,0.00144680411305741,"163"
"200","Otu00001",1,1,"Absent","Absent",0.0115294074584945,0,0,"200"
"234","Otu00001",1,1,"Absent","Absent",3.88499614157579e-05,0,0.00311009744972009,"234"
"22","Otu00001",1,2,"Present","Absent",0.0539873069128689,0.0539873069128689,0.00494199656661291,"22"
"44","Otu00001",1,2,"Absent","Absent",0.0229568258351506,0,0.000707857215087471,"44"
"79","Otu00001",1,2,"Absent","Absent",0.0360399120024941,0,0,"79"
"114","Otu00001",1,2,"Absent","Absent",0.0917233113151323,0,0,"114"
"14","Otu00001",1,2,"Absent","Absent",0.0340936993958526,0,0.00280621524710284,"14"
"21","Otu00001",1,2,"Present","Present",0.153857764478107,0.153857764478107,0.102342028391329,"21"
"33","Otu00001",1,2,"Present","Present",0.34006345112527,0.34006345112527,0.332162849872774,"33"
