"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00001",1,1,"Present","Present",0.267319924948405,0.267319924948405,0.0134294821549877,"15"
"9","Otu00001",1,1,"Absent","Absent",0.260011118534822,0,0,"9"
"72","Otu00001",1,1,"Absent","Absent",0.00117258854433822,0,0,"72"
"107","Otu00001",1,1,"Absent","Absent",0.757023680993601,0,0,"107"
"3","Otu00001",1,1,"Absent","Absent",5.59720596061609e-05,0,0,"3"
"20","Otu00001",1,1,"Present","Present",0.558499591189663,0.558499591189663,0.266687110293366,"20"
"32","Otu00001",1,1,"Present","Present",0.445162863693615,0.445162863693615,0.374156958920907,"32"
"46","Otu00001",1,1,"Absent","Present",0.00811897850192535,0,0.38863624750907,"46"
"61","Otu00001",1,1,"Absent","Absent",0.000181272250562579,0,0.0015865704488459,"61"
"75","Otu00001",1,1,"Absent","Absent",0.0743690046266682,0,0.00143171243033185,"75"
"88","Otu00001",1,1,"Absent","Absent",0.000264786552709554,0,0.0014167889490462,"88"
"96","Otu00001",1,1,"Absent","Absent",7.01846297032606e-06,0,0.000813752415827484,"96"
"103","Otu00001",1,1,"Present","Absent",0.0058999402697367,0.0058999402697367,0.00238336713995943,"103"
"111","Otu00001",1,1,"Present","Absent",0.00183951730366345,0.00183951730366345,0.000616681227195642,"111"
"119","Otu00001",1,1,"Present","Absent",0.570049591858124,0.570049591858124,0.000152439024390244,"119"
"27","Otu00001",1,1,"Absent","Present",0.314879698793501,0,0.323067509687946,"27"
"69","Otu00001",1,1,"Present","Absent",0.0423814350562627,0.0423814350562627,0.00123089547645912,"69"
"35","Otu00001",1,1,"Present","Present",0.284553784255152,0.284553784255152,0.517439180537772,"35"
"70","Otu00001",1,1,"Present","Absent",0.112807216210467,0.112807216210467,0.00594902302682189,"70"
"152","Otu00001",1,1,"Absent","Absent",0.343732203102618,0,0.00677457723535192,"152"
"158","Otu00001",1,1,"Absent","Absent",0.0614513482450352,0,0,"158"
"173","Otu00001",1,1,"Absent","Present",0.0353782601517877,0,0.306553911205074,"173"
"181","Otu00001",1,1,"Absent","Present",0.0153819105304546,0,0.0134930971607189,"181"
"190","Otu00001",1,1,"Absent","Absent",0.341188460476426,0,0.00220114249777265,"190"
"199","Otu00001",1,1,"Present","Absent",0.15474554571917,0.15474554571917,0.00649042266898844,"199"
"208","Otu00001",1,1,"Present","Present",0.611371753496195,0.611371753496195,0.150057333472324,"208"
"215","Otu00001",1,1,"Absent","Absent",0.00238404209570245,0,0,"215"
"225","Otu00001",1,1,"Present","Present",0.588652745505558,0.588652745505558,0.65531195574224,"225"
"237","Otu00001",1,1,"Absent","Present",0.0666409254428798,0,0.207425768683086,"237"
"248","Otu00001",1,1,"Present","Absent",0.0364964537974862,0.0364964537974862,0,"248"
"11","Otu00001",1,1,"Absent","Absent",0.755555956625002,0,0.00354332760147986,"11"
"163","Otu00001",1,1,"Absent","Absent",0.0148734321250969,0,0.00144680411305741,"163"
"200","Otu00001",1,1,"Absent","Absent",0.0370732497936441,0,0,"200"
"234","Otu00001",1,1,"Absent","Absent",0.00455350943638663,0,0.00311009744972009,"234"
"22","Otu00001",1,2,"Present","Absent",0.0507453475760282,0.0507453475760282,0.00494199656661291,"22"
"44","Otu00001",1,2,"Present","Absent",0.255314447417695,0.255314447417695,0.000707857215087471,"44"
"79","Otu00001",1,2,"Present","Absent",0.0122653167533618,0.0122653167533618,0,"79"
"114","Otu00001",1,2,"Present","Absent",0.447619049682878,0.447619049682878,0,"114"
"14","Otu00001",1,2,"Present","Absent",1.2744931913222e-05,1.2744931913222e-05,0.00280621524710284,"14"
"21","Otu00001",1,2,"Present","Present",0.944226464813931,0.944226464813931,0.102342028391329,"21"
"33","Otu00001",1,2,"Present","Present",0.329163346319747,0.329163346319747,0.332162849872774,"33"
"47","Otu00001",1,2,"Present","Present",0.221464679475435,0.221464679475435,0.0344012472966856,"47"
"66","Otu00001",1,2,"Present","Absent",0.418507935057764,0.418507935057764,0.000306372549019608,"66"
"76","Otu00001",1,2,"Present","Absent",1.74112785359506e-10,1.74112785359506e-10,5.05101525406607e-05,"76"
"89","Otu00001",1,2,"Present","Absent",0.000175917328145631,0.000175917328145631,0.000509502216334641,"89"
"97","Otu00001",1,2,"Present","Absent",0.0286308728606375,0.0286308728606375,0.000308641975308642,"97"
"105","Otu00001",1,2,"Present","Absent",0.0254019335800588,0.0254019335800588,0.000255284386806903,"105"
"112","Otu00001",1,2,"Present","Absent",0.255411993210633,0.255411993210633,0.000152819520146707,"112"
"123","Otu00001",1,2,"Absent","Absent",2.26040484568103e-05,0,0,"123"
"41","Otu00001",1,2,"Present","Present",0.398627820575211,0.398627820575211,0.420660059262287,"41"
"31","Otu00001",1,2,"Present","Present",0.348364723670892,0.348364723670892,0.451426821175149,"31"
"42","Otu00001",1,2,"Present","Present",0.37529514214289,0.37529514214289,0.507759060745278,"42"
"84","Otu00001",1,2,"Present","Absent",0.0105909198936112,0.0105909198936112,0.00198665376190719,"84"
"154","Otu00001",1,2,"Present","Absent",0.0093037486660058,0.0093037486660058,0.00287611776394917,"154"
"161","Otu00001",1,2,"Present","Present",0.441431601647487,0.441431601647487,0.226591661847432,"161"
"175","Otu00001",1,2,"Present","Absent",0.000901458381246409,0.000901458381246409,0,"175"
"182","Otu00001",1,2,"Present","Absent",0.331896952873892,0.331896952873892,0,"182"
"191","Otu00001",1,2,"Present","Absent",0.734899162612242,0.734899162612242,0,"191"
"201","Otu00001",1,2,"Present","Absent",0.683414823653739,0.683414823653739,0,"201"
"209","Otu00001",1,2,"Present","Present",0.656606654459307,0.656606654459307,0.0846003698376823,"209"
"218","Otu00001",1,2,"Present","Present",0.366548551836358,0.366548551836358,0.319622245540399,"218"
"226","Otu00001",1,2,"Present","Absent",0.527668934599899,0.527668934599899,0.005280426535425,"226"
"240","Otu00001",1,2,"Present","Absent",0.000699176074223986,0.000699176074223986,0,"240"
"7","Otu00001",1,2,"Present","Absent",0.38769538522082,0.38769538522082,0,"7"
"12","Otu00001",1,2,"Present","Absent",3.67900724855127e-06,3.67900724855127e-06,0.00241102783164736,"12"
"169","Otu00001",1,2,"Present","Present",0.967181372126013,0.967181372126013,0.509181545348187,"169"
"204","Otu00001",1,2,"Present","Present",0.0685067439712592,0.0685067439712592,0.107115414169356,"204"
"241","Otu00001",1,2,"Present","Absent",0.423502324616868,0.423502324616868,0,"241"
"36","Otu00001",1,3,"Absent","Present",8.31619088611532e-05,0,0.0749922045525413,"36"
"51","Otu00001",1,3,"Present","Absent",0.0872542079174584,0.0872542079174584,0,"51"
"86","Otu00001",1,3,"Absent","Absent",7.73710750900553e-06,0,0.000668552327076369,"86"
"121","Otu00001",1,3,"Absent","Absent",0.093937214362395,0,0,"121"
"17","Otu00001",1,3,"Present","Present",0.00645622343802194,0.00645622343802194,0.245068677062894,"17"
"24","Otu00001",1,3,"Present","Present",0.102887785652168,0.102887785652168,0.310691951802329,"24"
"34","Otu00001",1,3,"Present","Present",0.0316762620585903,0.0316762620585903,0.514850476336033,"34"
"53","Otu00001",1,3,"Absent","Present",0.0953802582754889,0,0.0430509342206296,"53"
"67","Otu00001",1,3,"Absent","Absent",4.57767699491271e-07,0,0.000253961804144657,"67"
"81","Otu00001",1,3,"Absent","Absent",0.665503553646626,0,0.000607441154138193,"81"
"90","Otu00001",1,3,"Absent","Absent",4.17807332031238e-06,0,0,"90"
"98","Otu00001",1,3,"Present","Absent",0.0344021401683051,0.0344021401683051,0.00290712500637527,"98"
"108","Otu00001",1,3,"Absent","Absent",0.0360484911375901,0,0.000305421226775261,"108"
"116","Otu00001",1,3,"Absent","Absent",0.00619860769997578,0,0.000150413637503134,"116"
"124","Otu00001",1,3,"Absent","Absent",3.98052613444575e-05,0,0.000968498317871343,"124"
"48","Otu00001",1,3,"Present","Present",0.138202998298526,0.138202998298526,0.329061133150239,"48"
"38","Otu00001",1,3,"Present","Present",0.481569845756313,0.481569845756313,0.383285009410448,"38"
"49","Otu00001",1,3,"Present","Present",0.323314748466991,0.323314748466991,0.533527399009244,"49"
"91","Otu00001",1,3,"Present","Absent",0.0433398397510336,0.0433398397510336,0.00240889754497463,"91"
"160","Otu00001",1,3,"Absent","Absent",0.995357630707016,0,0,"160"
"164","Otu00001",1,3,"Absent","Absent",0.0001328659918845,0,0,"164"
"176","Otu00001",1,3,"Absent","Absent",4.07375445960834e-09,0,0.00208289939595918,"176"
"185","Otu00001",1,3,"Present","Present",0.247788206611825,0.247788206611825,0.337004285791786,"185"
"192","Otu00001",1,3,"Present","Present",0.227406283124013,0.227406283124013,0.336423118865867,"192"
"203","Otu00001",1,3,"Present","Present",0.481577966856426,0.481577966856426,0.112262612446736,"203"
"210","Otu00001",1,3,"Absent","Absent",0.0309307775723163,0,0,"210"
"219","Otu00001",1,3,"Present","Present",0.00681310946410617,0.00681310946410617,0.748951835566009,"219"
"227","Otu00001",1,3,"Absent","Absent",9.44740607960285e-06,0,0,"227"
"243","Otu00001",1,3,"Present","Absent",0.402963529599183,0.402963529599183,0,"243"
"4","Otu00001",1,3,"Absent","Absent",4.52245065335582e-14,0,0,"4"
"150","Otu00001",1,3,"Present","Present",0.000160002487736291,0.000160002487736291,0.386487172974346,"150"
"171","Otu00001",1,3,"Absent","Present",0.00115816205370879,0,0.0119905310827501,"171"
"214","Otu00001",1,3,"Present","Absent",0.999999999984294,0.999999999984294,0,"214"
