"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00001",1,1,"Absent","Present",0.0092553956693318,0,0.0134294821549877,"15"
"9","Otu00001",1,1,"Absent","Absent",3.62059514586063e-05,0,0,"9"
"72","Otu00001",1,1,"Absent","Absent",0.00834103655743605,0,0,"72"
"107","Otu00001",1,1,"Absent","Absent",0.0175882693663044,0,0,"107"
"3","Otu00001",1,1,"Absent","Absent",0.0020242412771516,0,0,"3"
"20","Otu00001",1,1,"Absent","Present",0.292574226480986,0,0.266687110293366,"20"
"32","Otu00001",1,1,"Present","Present",0.402412904746925,0.402412904746925,0.374156958920907,"32"
"46","Otu00001",1,1,"Absent","Present",0.131224539193213,0,0.38863624750907,"46"
"61","Otu00001",1,1,"Absent","Absent",0.0103615312036712,0,0.0015865704488459,"61"
"75","Otu00001",1,1,"Absent","Absent",0.0156839497623788,0,0.00143171243033185,"75"
"88","Otu00001",1,1,"Absent","Absent",0.0850302410170349,0,0.0014167889490462,"88"
"96","Otu00001",1,1,"Absent","Absent",0.0161721449828897,0,0.000813752415827484,"96"
"103","Otu00001",1,1,"Absent","Absent",0.00303056100585861,0,0.00238336713995943,"103"
"111","Otu00001",1,1,"Absent","Absent",0.000483833168970386,0,0.000616681227195642,"111"
"119","Otu00001",1,1,"Present","Absent",0.294841664476952,0.294841664476952,0.000152439024390244,"119"
"27","Otu00001",1,1,"Present","Present",0.182341618956809,0.182341618956809,0.323067509687946,"27"
"69","Otu00001",1,1,"Absent","Absent",0.00166789367397215,0,0.00123089547645912,"69"
"35","Otu00001",1,1,"Present","Present",0.374112942068619,0.374112942068619,0.517439180537772,"35"
"70","Otu00001",1,1,"Absent","Absent",0.138668018327053,0,0.00594902302682189,"70"
"11","Otu00001",1,1,"Absent","Absent",0.0348949098460999,0,0.00354332760147986,"11"
"22","Otu00001",1,2,"Present","Absent",0.0539873069128689,0.0539873069128689,0.00494199656661291,"22"
"44","Otu00001",1,2,"Absent","Absent",0.0229568258351506,0,0.000707857215087471,"44"
"79","Otu00001",1,2,"Absent","Absent",0.0360399120024941,0,0,"79"
"114","Otu00001",1,2,"Absent","Absent",0.0917233113151323,0,0,"114"
"14","Otu00001",1,2,"Absent","Absent",0.0340936993958526,0,0.00280621524710284,"14"
"21","Otu00001",1,2,"Present","Present",0.153857764478107,0.153857764478107,0.102342028391329,"21"
"33","Otu00001",1,2,"Present","Present",0.34006345112527,0.34006345112527,0.332162849872774,"33"
"47","Otu00001",1,2,"Present","Present",0.22442566585808,0.22442566585808,0.0344012472966856,"47"
"66","Otu00001",1,2,"Absent","Absent",0.0310169799033157,0,0.000306372549019608,"66"
"76","Otu00001",1,2,"Absent","Absent",0.143397904195072,0,5.05101525406607e-05,"76"
"89","Otu00001",1,2,"Absent","Absent",0.014323333172165,0,0.000509502216334641,"89"
"97","Otu00001",1,2,"Absent","Absent",0.000393247780010193,0,0.000308641975308642,"97"
"105","Otu00001",1,2,"Absent","Absent",0.0281275292507407,0,0.000255284386806903,"105"
"112","Otu00001",1,2,"Absent","Absent",0.0127396000629568,0,0.000152819520146707,"112"
"123","Otu00001",1,2,"Absent","Absent",0.0381298596200216,0,0,"123"
"41","Otu00001",1,2,"Present","Present",0.393948417133525,0.393948417133525,0.420660059262287,"41"
"31","Otu00001",1,2,"Present","Present",0.381005017907023,0.381005017907023,0.451426821175149,"31"
"42","Otu00001",1,2,"Present","Present",0.400381890777543,0.400381890777543,0.507759060745278,"42"
"84","Otu00001",1,2,"Absent","Absent",0.289985153555089,0,0.00198665376190719,"84"
"7","Otu00001",1,2,"Absent","Absent",0.0334876583756693,0,0,"7"
"12","Otu00001",1,2,"Absent","Absent",0.0214539248629134,0,0.00241102783164736,"12"
