"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"3","Otu00001",1,1,"Absent","Absent",0.00730756585672102,0,0,"3"
"17","Otu00001",1,1,"Present","Present",0.370245511344161,0.370245511344161,0.245068677062894,"17"
"24","Otu00001",1,1,"Present","Present",0.18830438328754,0.18830438328754,0.310691951802329,"24"
"45","Otu00001",1,1,"Present","Present",0.453579943993193,0.453579943993193,0.388855512165816,"45"
"66","Otu00001",1,1,"Absent","Absent",0.209888299376565,0,0.000306372549019608,"66"
"94","Otu00001",1,1,"Absent","Absent",0.0351807733549769,0,0.000101081572829273,"94"
"101","Otu00001",1,1,"Absent","Absent",0.333303603800959,0,0.000203210729526519,"101"
"108","Otu00001",1,1,"Absent","Absent",0.0563668003934958,0,0.000305421226775261,"108"
"31","Otu00001",1,1,"Present","Present",0.405320561042754,0.405320561042754,0.451426821175149,"31"
"38","Otu00001",1,1,"Present","Present",0.259183686093494,0.259183686093494,0.383285009410448,"38"
"52","Otu00001",1,1,"Present","Present",0.470612105248707,0.470612105248707,0.470570202329859,"52"
"73","Otu00001",1,1,"Absent","Absent",0.0313632463088676,0,0.000821777092963534,"73"
"10","Otu00001",1,1,"Absent","Absent",0.0142738999019409,0,0.00293516431678809,"10"
"18","Otu00001",1,2,"Present","Present",0.288398993481702,0.288398993481702,0.319810543657331,"18"
"25","Otu00001",1,2,"Present","Present",0.244277576549793,0.244277576549793,0.330044751830757,"25"
"32","Otu00001",1,2,"Present","Present",0.48447236541993,0.48447236541993,0.374156958920907,"32"
"46","Otu00001",1,2,"Present","Present",0.331103509663179,0.331103509663179,0.38863624750907,"46"
"53","Otu00001",1,2,"Absent","Present",0.0404024419056173,0,0.0430509342206296,"53"
"60","Otu00001",1,2,"Absent","Absent",0.000988661021613544,0,0.000514694528797159,"60"
"67","Otu00001",1,2,"Absent","Absent",0.00204334453828898,0,0.000253961804144657,"67"
"74","Otu00001",1,2,"Absent","Absent",0.00739069933859356,0,0.000860019223959124,"74"
"81","Otu00001",1,2,"Absent","Absent",0.104823795601143,0,0.000607441154138193,"81"
"88","Otu00001",1,2,"Absent","Absent",0.0622108793954991,0,0.0014167889490462,"88"
"95","Otu00001",1,2,"Present","Absent",0.0467383712214649,0.0467383712214649,0.000202142712755205,"95"
"102","Otu00001",1,2,"Present","Absent",0.132711918590574,0.132711918590574,0.000252436007472106,"102"
"109","Otu00001",1,2,"Absent","Absent",0.242263111282296,0,5.06816684405251e-05,"109"
"116","Otu00001",1,2,"Absent","Absent",0.0960053041833222,0,0.000150413637503134,"116"
"123","Otu00001",1,2,"Absent","Absent",0.0505362370177374,0,0,"123"
"4","Otu00001",1,2,"Absent","Absent",0.000226850418747017,0,0,"4"
"11","Otu00001",1,2,"Absent","Absent",0.362026586799817,0,0.00354332760147986,"11"
"19","Otu00001",1,3,"Present","Present",0.215184627766761,0.215184627766761,0.308365959200495,"19"
"26","Otu00001",1,3,"Present","Present",0.193414521814737,0.193414521814737,0.369424478768415,"26"
"33","Otu00001",1,3,"Present","Present",0.407635472615529,0.407635472615529,0.332162849872774,"33"
"40","Otu00001",1,3,"Present","Present",0.450465655089413,0.450465655089413,0.389426998368679,"40"
"47","Otu00001",1,3,"Present","Present",0.205878012225895,0.205878012225895,0.0344012472966856,"47"
"54","Otu00001",1,3,"Absent","Absent",0.0512685650588286,0,0.000306968177632252,"54"
"61","Otu00001",1,3,"Absent","Absent",0.0146528814076329,0,0.0015865704488459,"61"
"68","Otu00001",1,3,"Absent","Absent",0.0211486385097472,0,0.00133005934110906,"68"
"75","Otu00001",1,3,"Absent","Absent",0.0720614730554833,0,0.00143171243033185,"75"
"82","Otu00001",1,3,"Absent","Absent",0.0421890260490041,0,0.00121976011384428,"82"
"89","Otu00001",1,3,"Absent","Absent",0.0072724646095686,0,0.000509502216334641,"89"
"96","Otu00001",1,3,"Absent","Absent",0.0424420313780161,0,0.000813752415827484,"96"
"103","Otu00001",1,3,"Absent","Absent",0.0121607968574991,0,0.00238336713995943,"103"
"110","Otu00001",1,3,"Absent","Absent",0.0207462183953567,0,0.00624936490194086,"110"
"117","Otu00001",1,3,"Absent","Absent",0.00461341289402364,0,0.000152315190901706,"117"
"124","Otu00001",1,3,"Absent","Absent",0.00770209849531792,0,0.000968498317871343,"124"
"12","Otu00001",1,3,"Absent","Absent",0.0163237157407973,0,0.00241102783164736,"12"
"20","Otu00001",1,4,"Present","Present",0.445772196579318,0.445772196579318,0.266687110293366,"20"
"34","Otu00001",1,4,"Present","Present",0.43193931065289,0.43193931065289,0.514850476336033,"34"
"76","Otu00001",1,4,"Absent","Absent",0.0369615837857987,0,5.05101525406607e-05,"76"
"83","Otu00001",1,4,"Absent","Absent",0.0440366708782382,0,0.000101327388793191,"83"
"90","Otu00001",1,4,"Absent","Absent",0.0323437504416476,0,0,"90"
"97","Otu00001",1,4,"Absent","Absent",0.0178241059707368,0,0.000308641975308642,"97"
"111","Otu00001",1,4,"Absent","Absent",0.0406529948278833,0,0.000616681227195642,"111"
"118","Otu00001",1,4,"Absent","Absent",0.0353856251193195,0,0.00056013850697627,"118"
"125","Otu00001",1,4,"Absent","Absent",0.0375891828145701,0,0.000358680057388809,"125"
