"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00006",1,1,"Absent","Present",3.26855533368294e-05,0,0.0136907561268746,"15"
"9","Otu00006",1,1,"Absent","Absent",1.66386094602474e-11,0,0.00193808882907133,"9"
"72","Otu00006",1,1,"Absent","Absent",7.30568073098305e-07,0,0.00441569110700349,"72"
"107","Otu00006",1,1,"Absent","Present",6.93851923033823e-05,0,0.0531746867431821,"107"
"3","Otu00006",1,1,"Present","Absent",0.0200791922565877,0.0200791922565877,0.000866904640489546,"3"
"20","Otu00006",1,1,"Present","Present",0.0116279495771847,0.0116279495771847,0.0584687723602167,"20"
"32","Otu00006",1,1,"Present","Absent",0.0050133636977291,0.0050133636977291,0.0028101369303086,"32"
"46","Otu00006",1,1,"Present","Absent",0.0191389826184539,0.0191389826184539,0.00470083286495325,"46"
"61","Otu00006",1,1,"Present","Present",0.0235115603836329,0.0235115603836329,0.0150980091099852,"61"
"75","Otu00006",1,1,"Present","Present",0.00877454302345744,0.00877454302345744,0.068108605614358,"75"
"88","Otu00006",1,1,"Present","Present",0.0393768626902447,0.0393768626902447,0.124323230278804,"88"
"96","Otu00006",1,1,"Present","Present",0.200151959405397,0.200151959405397,0.0405350422134066,"96"
"103","Otu00006",1,1,"Present","Present",0.0341073435118835,0.0341073435118835,0.0209432048681542,"103"
"111","Otu00006",1,1,"Present","Present",0.00372973915472193,0.00372973915472193,0.0518012230844339,"111"
"119","Otu00006",1,1,"Present","Present",0.0253434696785425,0.0253434696785425,0.220985772357724,"119"
"27","Otu00006",1,1,"Present","Absent",0.0149432710057429,0.0149432710057429,0.00418111360391597,"27"
"69","Otu00006",1,1,"Present","Present",0.0218453580708039,0.0218453580708039,0.0554415837521797,"69"
"35","Otu00006",1,1,"Present","Present",0.00364148040065007,0.00364148040065007,0.0113188220230474,"35"
"70","Otu00006",1,1,"Present","Present",0.0571125852434436,0.0571125852434436,0.0215908508128622,"70"
"11","Otu00006",1,1,"Absent","Present",2.51908488684099e-08,0,0.017664530248554,"11"
"22","Otu00006",1,2,"Absent","Present",0.00365377174272175,0,0.123601935181813,"22"
"44","Otu00006",1,2,"Absent","Absent",0.0117633944055306,0,0.000455051066841946,"44"
"79","Otu00006",1,2,"Absent","Absent",0.00310923973713976,0,0.000100689724613603,"79"
"114","Otu00006",1,2,"Present","Absent",0.00241478193580814,0.00241478193580814,0,"114"
"14","Otu00006",1,2,"Absent","Present",0.000458212480246515,0,0.0112768279374318,"14"
"21","Otu00006",1,2,"Absent","Present",0.00043245760687743,0,0.312560856864654,"21"
"33","Otu00006",1,2,"Absent","Absent",0.00957447975052891,0,0.00310432569974555,"33"
"47","Otu00006",1,2,"Absent","Present",0.0280423003800451,0,0.0212744555650556,"47"
"66","Otu00006",1,2,"Present","Present",0.0333882042148138,0.0333882042148138,0.0345179738562092,"66"
"76","Otu00006",1,2,"Present","Absent",0.0218355563141359,0.0218355563141359,0.00636427922012324,"76"
"89","Otu00006",1,2,"Present","Present",0.0804054069584569,0.0804054069584569,0.0265960156926683,"89"
"97","Otu00006",1,2,"Present","Present",0.0626260012767322,0.0626260012767322,0.0296296296296296,"97"
"105","Otu00006",1,2,"Present","Present",0.184720870472159,0.184720870472159,0.138415194526703,"105"
"112","Otu00006",1,2,"Present","Present",0.119725094775615,0.119725094775615,0.170546584483725,"112"
"123","Otu00006",1,2,"Present","Present",0.1221698287024,0.1221698287024,0.0169180595189564,"123"
"41","Otu00006",1,2,"Absent","Present",0.0207140808824094,0,0.0211505057729641,"41"
"31","Otu00006",1,2,"Absent","Absent",0.00321466397448934,0,0.00270560008167849,"31"
"42","Otu00006",1,2,"Present","Absent",0.0220210762395638,0.0220210762395638,0.00490045941807044,"42"
"84","Otu00006",1,2,"Present","Present",0.028415200122727,0.028415200122727,0.133513320768173,"84"
"7","Otu00006",1,2,"Present","Absent",0.0474567359089471,0.0474567359089471,0,"7"
"12","Otu00006",1,2,"Absent","Present",0.000766245336979928,0,0.0153571990146234,"12"
"36","Otu00006",1,3,"Present","Present",0.00251263707123544,0.00251263707123544,0.021775283234591,"36"
"51","Otu00006",1,3,"Present","Absent",0.0152130461129556,0.0152130461129556,0,"51"
"86","Otu00006",1,3,"Absent","Absent",0.036430883503512,0,0.000411416816662381,"86"
"121","Otu00006",1,3,"Absent","Absent",0.00319790563439917,0,0.000876062870394228,"121"
"17","Otu00006",1,3,"Present","Present",0.00161090077827955,0.00161090077827955,0.10755964060725,"17"
"24","Otu00006",1,3,"Present","Absent",0.0325621277147565,0.0325621277147565,0.00833799379734608,"24"
"34","Otu00006",1,3,"Present","Absent",0.0249772495901186,0.0249772495901186,0.0065719089102858,"34"
"53","Otu00006",1,3,"Present","Absent",0.0568069357262487,0.0568069357262487,0.00829280778090607,"53"
"67","Otu00006",1,3,"Present","Present",0.00951302879155563,0.00951302879155563,0.019250304754165,"67"
"81","Otu00006",1,3,"Present","Present",0.0515902195395283,0.0515902195395283,0.0249557074158441,"81"
"90","Otu00006",1,3,"Present","Present",0.0266227223365618,0.0266227223365618,0.0276900781533047,"90"
"98","Otu00006",1,3,"Present","Present",0.0143296454222812,0.0143296454222812,0.0541643290661498,"98"
"108","Otu00006",1,3,"Present","Present",0.0881402831014256,0.0881402831014256,0.18345635021634,"108"
"116","Otu00006",1,3,"Present","Present",0.00153847423236325,0.00153847423236325,0.149761845073953,"116"
"124","Otu00006",1,3,"Present","Present",0.0035127593042362,0.0035127593042362,0.0251299826689775,"124"
"48","Otu00006",1,3,"Present","Present",0.0176902255260723,0.0176902255260723,0.0208015461295901,"48"
"38","Otu00006",1,3,"Present","Absent",0.0264652016352118,0.0264652016352118,0.00559540159723282,"38"
"49","Otu00006",1,3,"Present","Present",0.0504239680592809,0.0504239680592809,0.010111843113222,"49"
"91","Otu00006",1,3,"Present","Present",0.0312931304409368,0.0312931304409368,0.0747270770334683,"91"
"4","Otu00006",1,3,"Present","Absent",0.00120159963055195,0.00120159963055195,0,"4"
"64","Otu00006",1,4,"Absent","Present",0.0260235458235558,0,0.0708898944193062,"64"
"58","Otu00006",1,4,"Present","Absent",0.0229100212603713,0.0229100212603713,0,"58"
"93","Otu00006",1,4,"Present","Absent",0.015735343077032,0.015735343077032,0.00106012418597607,"93"
"1","Otu00006",1,4,"Present","Present",0.0793875460891428,0.0793875460891428,0.177235527438871,"1"
"18","Otu00006",1,4,"Present","Present",0.0666226508241886,0.0666226508241886,0.1875,"18"
"25","Otu00006",1,4,"Present","Absent",0.0617639523731672,0.0617639523731672,0.00564483319772173,"25"
"40","Otu00006",1,4,"Present","Absent",0.0142432906218765,0.0142432906218765,0.00693311582381729,"40"
"54","Otu00006",1,4,"Present","Present",0.0124870537512283,0.0124870537512283,0.0212319656195641,"54"
"68","Otu00006",1,4,"Present","Present",0.00355240316286476,0.00355240316286476,0.0175465520769388,"68"
"82","Otu00006",1,4,"Present","Present",0.0599323755517142,0.0599323755517142,0.0243443789388087,"82"
"94","Otu00006",1,4,"Present","Present",0.603915674742739,0.603915674742739,0.107854038208835,"94"
"101","Otu00006",1,4,"Present","Present",0.0879136868393357,0.0879136868393357,0.196301564722617,"101"
"109","Otu00006",1,4,"Present","Present",0.769802493630066,0.769802493630066,0.340428766915007,"109"
"117","Otu00006",1,4,"Present","Present",0.297586954698885,0.297586954698885,0.0253858651502843,"117"
