"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00001",1,1,"Present","Present",0.267319924948405,0.267319924948405,0.0134294821549877,"15"
"9","Otu00001",1,1,"Absent","Absent",0.260011118534822,0,0,"9"
"72","Otu00001",1,1,"Absent","Absent",0.00117258854433822,0,0,"72"
"107","Otu00001",1,1,"Absent","Absent",0.757023680993601,0,0,"107"
"3","Otu00001",1,1,"Absent","Absent",5.59720596061609e-05,0,0,"3"
"20","Otu00001",1,1,"Present","Present",0.558499591189663,0.558499591189663,0.266687110293366,"20"
"32","Otu00001",1,1,"Present","Present",0.445162863693615,0.445162863693615,0.374156958920907,"32"
"46","Otu00001",1,1,"Absent","Present",0.00811897850192535,0,0.38863624750907,"46"
"61","Otu00001",1,1,"Absent","Absent",0.000181272250562579,0,0.0015865704488459,"61"
"75","Otu00001",1,1,"Absent","Absent",0.0743690046266682,0,0.00143171243033185,"75"
"88","Otu00001",1,1,"Absent","Absent",0.000264786552709554,0,0.0014167889490462,"88"
"96","Otu00001",1,1,"Absent","Absent",7.01846297032606e-06,0,0.000813752415827484,"96"
"103","Otu00001",1,1,"Present","Absent",0.0058999402697367,0.0058999402697367,0.00238336713995943,"103"
"111","Otu00001",1,1,"Present","Absent",0.00183951730366345,0.00183951730366345,0.000616681227195642,"111"
"119","Otu00001",1,1,"Present","Absent",0.570049591858124,0.570049591858124,0.000152439024390244,"119"
"27","Otu00001",1,1,"Absent","Present",0.314879698793501,0,0.323067509687946,"27"
"69","Otu00001",1,1,"Present","Absent",0.0423814350562627,0.0423814350562627,0.00123089547645912,"69"
"35","Otu00001",1,1,"Present","Present",0.284553784255152,0.284553784255152,0.517439180537772,"35"
"70","Otu00001",1,1,"Present","Absent",0.112807216210467,0.112807216210467,0.00594902302682189,"70"
"11","Otu00001",1,1,"Absent","Absent",0.755555956625002,0,0.00354332760147986,"11"
"22","Otu00001",1,2,"Present","Absent",0.0507453475760282,0.0507453475760282,0.00494199656661291,"22"
"44","Otu00001",1,2,"Present","Absent",0.255314447417695,0.255314447417695,0.000707857215087471,"44"
"79","Otu00001",1,2,"Present","Absent",0.0122653167533618,0.0122653167533618,0,"79"
"114","Otu00001",1,2,"Present","Absent",0.447619049682878,0.447619049682878,0,"114"
"14","Otu00001",1,2,"Present","Absent",1.2744931913222e-05,1.2744931913222e-05,0.00280621524710284,"14"
"21","Otu00001",1,2,"Present","Present",0.944226464813931,0.944226464813931,0.102342028391329,"21"
"33","Otu00001",1,2,"Present","Present",0.329163346319747,0.329163346319747,0.332162849872774,"33"
"47","Otu00001",1,2,"Present","Present",0.221464679475435,0.221464679475435,0.0344012472966856,"47"
"66","Otu00001",1,2,"Present","Absent",0.418507935057764,0.418507935057764,0.000306372549019608,"66"
"76","Otu00001",1,2,"Present","Absent",1.74112785359506e-10,1.74112785359506e-10,5.05101525406607e-05,"76"
"89","Otu00001",1,2,"Present","Absent",0.000175917328145631,0.000175917328145631,0.000509502216334641,"89"
"97","Otu00001",1,2,"Present","Absent",0.0286308728606375,0.0286308728606375,0.000308641975308642,"97"
"105","Otu00001",1,2,"Present","Absent",0.0254019335800588,0.0254019335800588,0.000255284386806903,"105"
"112","Otu00001",1,2,"Present","Absent",0.255411993210633,0.255411993210633,0.000152819520146707,"112"
"123","Otu00001",1,2,"Absent","Absent",2.26040484568103e-05,0,0,"123"
"41","Otu00001",1,2,"Present","Present",0.398627820575211,0.398627820575211,0.420660059262287,"41"
"31","Otu00001",1,2,"Present","Present",0.348364723670892,0.348364723670892,0.451426821175149,"31"
"42","Otu00001",1,2,"Present","Present",0.37529514214289,0.37529514214289,0.507759060745278,"42"
"84","Otu00001",1,2,"Present","Absent",0.0105909198936112,0.0105909198936112,0.00198665376190719,"84"
"7","Otu00001",1,2,"Present","Absent",0.38769538522082,0.38769538522082,0,"7"
"12","Otu00001",1,2,"Present","Absent",3.67900724855127e-06,3.67900724855127e-06,0.00241102783164736,"12"
"36","Otu00001",1,3,"Absent","Present",8.31619088611532e-05,0,0.0749922045525413,"36"
"51","Otu00001",1,3,"Present","Absent",0.0872542079174584,0.0872542079174584,0,"51"
"86","Otu00001",1,3,"Absent","Absent",7.73710750900553e-06,0,0.000668552327076369,"86"
"121","Otu00001",1,3,"Absent","Absent",0.093937214362395,0,0,"121"
"17","Otu00001",1,3,"Present","Present",0.00645622343802194,0.00645622343802194,0.245068677062894,"17"
"24","Otu00001",1,3,"Present","Present",0.102887785652168,0.102887785652168,0.310691951802329,"24"
"34","Otu00001",1,3,"Present","Present",0.0316762620585903,0.0316762620585903,0.514850476336033,"34"
"53","Otu00001",1,3,"Absent","Present",0.0953802582754889,0,0.0430509342206296,"53"
"67","Otu00001",1,3,"Absent","Absent",4.57767699491271e-07,0,0.000253961804144657,"67"
"81","Otu00001",1,3,"Absent","Absent",0.665503553646626,0,0.000607441154138193,"81"
"90","Otu00001",1,3,"Absent","Absent",4.17807332031238e-06,0,0,"90"
"98","Otu00001",1,3,"Present","Absent",0.0344021401683051,0.0344021401683051,0.00290712500637527,"98"
"108","Otu00001",1,3,"Absent","Absent",0.0360484911375901,0,0.000305421226775261,"108"
"116","Otu00001",1,3,"Absent","Absent",0.00619860769997578,0,0.000150413637503134,"116"
"124","Otu00001",1,3,"Absent","Absent",3.98052613444575e-05,0,0.000968498317871343,"124"
"48","Otu00001",1,3,"Present","Present",0.138202998298526,0.138202998298526,0.329061133150239,"48"
"38","Otu00001",1,3,"Present","Present",0.481569845756313,0.481569845756313,0.383285009410448,"38"
"49","Otu00001",1,3,"Present","Present",0.323314748466991,0.323314748466991,0.533527399009244,"49"
"91","Otu00001",1,3,"Present","Absent",0.0433398397510336,0.0433398397510336,0.00240889754497463,"91"
"4","Otu00001",1,3,"Absent","Absent",4.52245065335582e-14,0,0,"4"
"64","Otu00001",1,4,"Present","Present",0.264623810058253,0.264623810058253,0.217797888386124,"64"
"58","Otu00001",1,4,"Present","Absent",0.0282143414327336,0.0282143414327336,0,"58"
"93","Otu00001",1,4,"Present","Absent",0.298261207225052,0.298261207225052,0,"93"
"1","Otu00001",1,4,"Absent","Present",0.12357562923975,0,0.0210373048149822,"1"
"18","Otu00001",1,4,"Present","Present",0.0525910039347881,0.0525910039347881,0.319810543657331,"18"
"25","Otu00001",1,4,"Present","Present",0.148305418823851,0.148305418823851,0.330044751830757,"25"
"40","Otu00001",1,4,"Present","Present",0.256994646029863,0.256994646029863,0.389426998368679,"40"
"54","Otu00001",1,4,"Present","Absent",0.144329298905696,0.144329298905696,0.000306968177632252,"54"
"68","Otu00001",1,4,"Absent","Absent",0.0270116727876176,0,0.00133005934110906,"68"
"82","Otu00001",1,4,"Absent","Absent",0.0149799018048969,0,0.00121976011384428,"82"
"94","Otu00001",1,4,"Absent","Absent",0.0211459946130293,0,0.000101081572829273,"94"
"101","Otu00001",1,4,"Absent","Absent",0.00802270667279359,0,0.000203210729526519,"101"
"109","Otu00001",1,4,"Present","Absent",0.00551466802911447,0.00551466802911447,5.06816684405251e-05,"109"
"117","Otu00001",1,4,"Absent","Absent",0.011175860482223,0,0.000152315190901706,"117"
"125","Otu00001",1,4,"Present","Absent",0.0192647142313872,0.0192647142313872,0.000358680057388809,"125"
"55","Otu00001",1,4,"Present","Present",0.348390254666512,0.348390254666512,0.291799403966704,"55"
"52","Otu00001",1,4,"Present","Present",0.220681725151202,0.220681725151202,0.470570202329859,"52"
"56","Otu00001",1,4,"Present","Present",0.293080965507083,0.293080965507083,0.58247869789275,"56"
"6","Otu00001",1,4,"Absent","Absent",0.00438104606267008,0,0,"6"
"92","Otu00001",1,5,"Absent","Absent",3.89334566127941e-05,0,0,"9"
"65","Otu00001",1,5,"Absent","Absent",0.000318134947728669,0,0,"65"
"100","Otu00001",1,5,"Present","Absent",0.000695612593499671,0.000695612593499671,0,"100"
"8","Otu00001",1,5,"Absent","Absent",0.000479711253833934,0,0,"8"
"19","Otu00001",1,5,"Present","Present",0.428658809674748,0.428658809674748,0.308365959200495,"19"
"26","Otu00001",1,5,"Present","Present",0.208932952969417,0.208932952969417,0.369424478768415,"26"
"45","Otu00001",1,5,"Present","Present",0.0456082085676349,0.0456082085676349,0.388855512165816,"45"
"60","Otu00001",1,5,"Absent","Absent",0.0498517616586773,0,0.000514694528797159,"60"
"74","Otu00001",1,5,"Present","Absent",0.0902210652500114,0.0902210652500114,0.000860019223959124,"74"
"83","Otu00001",1,5,"Absent","Absent",0.00582429611601682,0,0.000101327388793191,"83"
"95","Otu00001",1,5,"Present","Absent",0.00564111473746355,0.00564111473746355,0.000202142712755205,"95"
"102","Otu00001",1,5,"Present","Absent",0.537223366176054,0.537223366176054,0.000252436007472106,"102"
"110","Otu00001",1,5,"Absent","Absent",0.000278439603269912,0,0.00624936490194086,"110"
"118","Otu00001",1,5,"Absent","Absent",0.000228612251577014,0,0.00056013850697627,"118"
"126","Otu00001",1,5,"Present","Absent",0.950469546062385,0.950469546062385,0.000204237937196834,"126"
"62","Otu00001",1,5,"Present","Present",0.178531923096242,0.178531923096242,0.329719224671406,"62"
"73","Otu00001",1,5,"Present","Absent",0.276622801046151,0.276622801046151,0.000821777092963534,"73"
"63","Otu00001",1,5,"Present","Present",0.191412951607329,0.191412951607329,0.643387435359173,"63"
"10","Otu00001",1,5,"Absent","Absent",0.000598431208068019,0,0.00293516431678809,"10"
