"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue","Index"
"15","Otu00001",1,1,"Absent","Present",0.00710211742590127,0,0.0134294821549877,"15"
"9","Otu00001",1,1,"Absent","Absent",0.00148267515941454,0,0,"9"
"72","Otu00001",1,1,"Absent","Absent",0.034917150254851,0,0,"72"
"107","Otu00001",1,1,"Absent","Absent",0.169365318417287,0,0,"107"
"3","Otu00001",1,1,"Absent","Absent",0.000140695159375594,0,0,"3"
"20","Otu00001",1,1,"Present","Present",0.267833448954172,0.267833448954172,0.266687110293366,"20"
"32","Otu00001",1,1,"Present","Present",0.348489977482035,0.348489977482035,0.374156958920907,"32"
"46","Otu00001",1,1,"Absent","Present",0.166249000837948,0,0.38863624750907,"46"
"61","Otu00001",1,1,"Absent","Absent",0.0354134070045121,0,0.0015865704488459,"61"
"75","Otu00001",1,1,"Absent","Absent",0.121277989731896,0,0.00143171243033185,"75"
"88","Otu00001",1,1,"Absent","Absent",0.0417592120549667,0,0.0014167889490462,"88"
"96","Otu00001",1,1,"Absent","Absent",0.00113810120011173,0,0.000813752415827484,"96"
"103","Otu00001",1,1,"Absent","Absent",0.0191734229677206,0,0.00238336713995943,"103"
"111","Otu00001",1,1,"Absent","Absent",0.00271357124434021,0,0.000616681227195642,"111"
"119","Otu00001",1,1,"Absent","Absent",0.0919168094467387,0,0.000152439024390244,"119"
"27","Otu00001",1,1,"Present","Present",0.254875532976387,0.254875532976387,0.323067509687946,"27"
"69","Otu00001",1,1,"Present","Absent",0.274567270016115,0.274567270016115,0.00123089547645912,"69"
"35","Otu00001",1,1,"Present","Present",0.328408926937808,0.328408926937808,0.517439180537772,"35"
"70","Otu00001",1,1,"Present","Absent",0.15304516066457,0.15304516066457,0.00594902302682189,"70"
"6","Otu00001",1,1,"Absent","Absent",9.7700980573349e-05,0,0,"6"
"22","Otu00001",1,2,"Present","Absent",0.122838436732948,0.122838436732948,0.00494199656661291,"22"
"44","Otu00001",1,2,"Absent","Absent",0.0249326708046237,0,0.000707857215087471,"44"
"79","Otu00001",1,2,"Present","Absent",0.189226076092774,0.189226076092774,0,"79"
"114","Otu00001",1,2,"Absent","Absent",0.027801105998901,0,0,"114"
"14","Otu00001",1,2,"Absent","Absent",0.0198260056474676,0,0.00280621524710284,"14"
"21","Otu00001",1,2,"Present","Present",0.10948278322283,0.10948278322283,0.102342028391329,"21"
"33","Otu00001",1,2,"Present","Present",0.419059604722484,0.419059604722484,0.332162849872774,"33"
"47","Otu00001",1,2,"Present","Present",0.27264704767875,0.27264704767875,0.0344012472966856,"47"
"66","Otu00001",1,2,"Absent","Absent",0.158693151765822,0,0.000306372549019608,"66"
"76","Otu00001",1,2,"Absent","Absent",0.0196244901163208,0,5.05101525406607e-05,"76"
"89","Otu00001",1,2,"Absent","Absent",0.0131446970881103,0,0.000509502216334641,"89"
"97","Otu00001",1,2,"Absent","Absent",0.00872010067152582,0,0.000308641975308642,"97"
"105","Otu00001",1,2,"Absent","Absent",0.0652213523153393,0,0.000255284386806903,"105"
"112","Otu00001",1,2,"Absent","Absent",0.0382967186666372,0,0.000152819520146707,"112"
"123","Otu00001",1,2,"Absent","Absent",0.024310029947073,0,0,"123"
"41","Otu00001",1,2,"Present","Present",0.405208360501821,0.405208360501821,0.420660059262287,"41"
"31","Otu00001",1,2,"Present","Present",0.721848559008502,0.721848559008502,0.451426821175149,"31"
"42","Otu00001",1,2,"Present","Present",0.528889752832453,0.528889752832453,0.507759060745278,"42"
"84","Otu00001",1,2,"Absent","Absent",0.226085704362108,0,0.00198665376190719,"84"
"10","Otu00001",1,2,"Absent","Absent",0.0976534314531218,0,0.00293516431678809,"10"
"36","Otu00001",1,3,"Present","Present",0.0441103724296667,0.0441103724296667,0.0749922045525413,"36"
"51","Otu00001",1,3,"Absent","Absent",0.00285336458868758,0,0,"51"
"86","Otu00001",1,3,"Absent","Absent",0.0108760347089755,0,0.000668552327076369,"86"
"121","Otu00001",1,3,"Absent","Absent",0.0115016392787152,0,0,"121"
"17","Otu00001",1,3,"Present","Present",0.157106898364081,0.157106898364081,0.245068677062894,"17"
"24","Otu00001",1,3,"Present","Present",0.282559535147457,0.282559535147457,0.310691951802329,"24"
"34","Otu00001",1,3,"Present","Present",0.283993523294737,0.283993523294737,0.514850476336033,"34"
"53","Otu00001",1,3,"Present","Present",0.167937780612754,0.167937780612754,0.0430509342206296,"53"
"67","Otu00001",1,3,"Absent","Absent",0.0863724618203831,0,0.000253961804144657,"67"
"81","Otu00001",1,3,"Absent","Absent",0.0569379703973917,0,0.000607441154138193,"81"
"90","Otu00001",1,3,"Absent","Absent",0.0583101066551378,0,0,"90"
"98","Otu00001",1,3,"Absent","Absent",0.0845300973181488,0,0.00290712500637527,"98"
"108","Otu00001",1,3,"Absent","Absent",0.00264817717875005,0,0.000305421226775261,"108"
"116","Otu00001",1,3,"Absent","Absent",0.0426870464687506,0,0.000150413637503134,"116"
"124","Otu00001",1,3,"Absent","Absent",0.00377425435898663,0,0.000968498317871343,"124"
"48","Otu00001",1,3,"Present","Present",0.377414713679323,0.377414713679323,0.329061133150239,"48"
"38","Otu00001",1,3,"Present","Present",0.34588922617489,0.34588922617489,0.383285009410448,"38"
"49","Otu00001",1,3,"Present","Present",0.554828991907938,0.554828991907938,0.533527399009244,"49"
"91","Otu00001",1,3,"Present","Absent",0.118042400205272,0.118042400205272,0.00240889754497463,"91"
