"","TaxonOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)","AUC_ALL"
"1","Otu00002",1,11.1233417622809,6.11381591557745,0.531782891363778,0.790849673202614
"2","Otu00002",2,18.0144234436748,9.43557888770463,0.200974805742647,0.721132897603486
"3","Otu00002",3,13.5176154034811,7.67550853815837,0.329232522920786,0.566448801742919
"4","Otu00003",1,16.1373521617671,10.118027868183,0.337406647632063,0.6953125
"5","Otu00003",2,19.7562507966477,12.1278126183306,0.0115127828194013,0.661458333333333
"6","Otu00003",3,12.1146074262747,7.23883582063463,0.246279693308242,0.76171875
"7","Otu00004",1,8.62434667656535,4.63221935506848,0.0693044123948403,0.751552795031056
"8","Otu00004",2,6.84985658791586,3.95302373738865,0.31837638394197,0.697722567287785
"9","Otu00004",3,8.82887492926875,5.03794788081575,0.0399664632574252,0.62111801242236
"10","Otu00005",1,4.17091552667599,2.16905598410147,0.331124829152517,0.817617866004963
"11","Otu00005",2,4.05647161700347,2.10466894522513,0.373981615162414,0.82258064516129
"12","Otu00005",3,3.65740039783739,2.12182375341414,0.431823152305952,0.866004962779156
"13","Otu00007",1,5.323203164066,2.95660893906332,0.617886007016075,0.849358974358974
"14","Otu00007",2,7.44568248134719,3.96578080084973,0.284482771286763,0.749473684210526
"15","Otu00007",3,8.27408518671868,4.21328365005405,0.19306003473782,0.631578947368421
"16","Otu00008",1,8.98309665774891,5.86059745418293,0.118013244305426,0.833333333333333
"17","Otu00008",2,10.2332722643774,6.71698881421495,0.371581116421568,0.8
"18","Otu00008",3,8.89113077802275,6.38478921860936,0.226667767171764,0.779365079365079
"19","Otu00010",1,8.15532166198433,3.35130714467607,0.15957005616511,0.633684210526316
"20","Otu00010",2,3.93413239938475,2.61751232848617,0.0896540764931437,0.684210526315789
"21","Otu00010",3,5.76324420240808,3.23017394530685,0.162636417323443,0.646315789473684
"22","Otu00011",1,2.96780998384746,1.04624080856228,0.759740260492431,0.969111969111969
"23","Otu00011",2,1.81905950521349,0.776269501627442,0.882645799335013,0.984555984555985
"24","Otu00011",3,0.988758126188055,0.4891865189321,0.96706613219141,0.918918918918919
"25","Otu00012",1,8.96031929758152,5.02399065261785,0.119055480591905,0.777777777777778
"26","Otu00012",2,9.88207261710924,5.2173799078041,0.0659163258835215,0.892156862745098
"27","Otu00012",3,13.0003973203952,7.43829642724029,0.0302274471195244,0.830065359477124
"28","Otu00014",1,1.91156429361076,0.811731354872132,0.932498787350352,1
"29","Otu00014",2,2.78328736349847,1.08929717032623,0.85825179622862,1
"30","Otu00014",3,2.08093497975842,0.909036632404818,0.930467399797716,0.987179487179487
"31","Otu00015",1,3.52346006455602,1.70151090525826,0.272973357699732,0.838541666666667
"32","Otu00015",2,2.78744979265515,1.50144979674862,0.550210874669063,0.89453125
"33","Otu00015",3,3.65837102821756,1.74998972169963,0.278361581473343,0.875
"34","Otu00016",1,4.32324804726795,1.92666251129673,0.0126600099862297,0.67816091954023
"35","Otu00016",2,5.39708059498783,2.64892110186496,0.00432298463634174,0.763218390804598
"36","Otu00016",3,15.9237882079191,5.44274229959832,0.00173009496295758,0.726436781609195
"37","Otu00017",1,3.95806807271192,2.17815180730738,0.119677662526074,0.825520833333333
"38","Otu00017",2,3.11272667616998,1.4889319444853,0.387673456082282,0.731770833333333
"39","Otu00017",3,4.38393145415089,2.27887412759359,0.0575637202643668,0.690104166666667
"40","Otu00018",1,2.27946505014475,0.822751297483429,0.793188195816064,1
"41","Otu00018",2,2.70712005083256,1.00020824919323,0.755218630509729,1
"42","Otu00018",3,3.15245653468769,1.08988879184003,0.633677433867672,1
"43","Otu00019",1,4.66241720800103,1.71108531612101,0.193233135154759,0.807017543859649
"44","Otu00019",2,4.63795187676793,1.75894679930664,0.197341909691884,0.868421052631579
"45","Otu00019",3,4.5329087901274,1.95547201757436,0.21842764618932,0.62280701754386
"46","Otu00020",1,2.25760144740558,0.909054665814722,0.686969361665534,0.96875
"47","Otu00020",2,2.48433011172842,0.925768374243302,0.630590886338912,0.979166666666667
"48","Otu00020",3,2.43878693661133,0.836398530442323,0.600963777825529,1
"49","Otu00021",1,2.00889319110655,1.02481981850187,0.424068257206323,0.764478764478765
"50","Otu00021",2,2.67268952061899,1.28635865484842,0.127940612215724,0.714285714285714
"51","Otu00021",3,2.69378352811902,1.21056615609401,0.116020764625156,0.571428571428571
"52","Otu00022",1,1.97390260416349,0.851013696061989,0.0211415758568348,0.854411764705882
"53","Otu00022",2,2.1306240630541,1.02482982650893,0.0675456956659592,0.788235294117647
"54","Otu00022",3,1.89462014478443,0.924568942038904,0.048364444687431,0.752941176470588
"55","Otu00025",1,2.81201535372052,1.18730826869422,0.0763318556185873,0.892561983471074
"56","Otu00025",2,3.17084451688023,1.32744590797221,0.0871346188997183,0.9366391184573
"57","Otu00025",3,2.67967756115089,1.2158265098434,0.126637824125799,0.752066115702479
