"","TaxonOfInterest","rep","fold","RMSE(100 * Combined$Combined, 100 * Combined$TrueValue)","MAE(100 * Combined$Combined, 100 * Combined$TrueValue)","R2(100 * Combined$Combined, 100 * Combined$TrueValue)","sum(Combined$PredictedClass == Combined$TrueClass)/length(Combined$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM12_Class","GMM13_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM18_Class","GMM19_Class","GMM20_Class","GMM21_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM33_Class","GMM34_Class","GMM35_Class","GMM36_Class","GMM37_Class","GMM38_Class","GMM39_Class","GMM40_Class","GMM41_Class","GMM42_Class","GMM43_Class","GMM44_Class","GMM45_Class","GMM46_Class","GMM47_Class","GMM48_Class","GMM49_Class","GMM50_Class","GMM51_Class","GMM52_Class","GMM53_Class","GMM54_Class","GMM55_Class","GMM56_Class","GMM57_Class","GMM58_Class","GMM59_Class","GMM60_Class","GMM61_Class","GMM62_Class","GMM63_Class","GMM64_Class","GMM65_Class","GMM66_Class","Other_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM12_Reg","GMM13_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM18_Reg","GMM19_Reg","GMM20_Reg","GMM21_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","GMM33_Reg","GMM34_Reg","GMM35_Reg","GMM36_Reg","GMM37_Reg","GMM38_Reg","GMM39_Reg","GMM40_Reg","GMM41_Reg","GMM42_Reg","GMM43_Reg","GMM44_Reg","GMM45_Reg","GMM46_Reg","GMM47_Reg","GMM48_Reg","GMM49_Reg","GMM50_Reg","GMM51_Reg","GMM52_Reg","GMM53_Reg","GMM54_Reg","GMM55_Reg","GMM56_Reg","GMM57_Reg","GMM58_Reg","GMM59_Reg","GMM60_Reg","GMM61_Reg","GMM62_Reg","GMM63_Reg","GMM64_Reg","GMM65_Reg","GMM66_Reg","Other_Reg"
"Overall","Otu00002",1,1,5.69499433242412,3.80364761634007,0.87439553726933,0.777777777777778,24.2804658488406,39.8059379152299,73.8428949891251,0,13.5093795062621,26.5883796499703,0,9.81622797430357,7.0314399483197,0,5.07874612364277,6.79491160661032,17.3048304137365,14.9765114745978,10.0691198086059,13.2171124059111,20.5633219529877,4.66275354495996,10.9215879153285,9.94481272962595,9.60097493275287,16.3690501965066,0,53.2070719473014,0.334781779185539,17.3498245948967,0.591076347974408,13.896783196727,1.12471008209502,6.1276630665599,13.5010306521982,0,5.18975278796326,12.6479169789735,10.1338360226576,5.50582447176303,36.2288034584166,100,5.81093520220711,9.43025394154862,0,9.73500033027071,0,2.04602308916474,3.4291994392876,73.7881093164087,6.29488261614563,16.131313091818,3.88536563851192,0,17.5393570769253,5.44974672735165,12.1807788744644,3.73817396954591,20.2074246044712,9.54914271512852,0,21.4204177605479,12.15425606268,0,14.0215019330883,3.83877560224962,18.5490321127188,22.8662062180273,9.53905390775115,9.50344235720361,0,4.93423452282104,5.16875790214687,2.13258172217442,0.635347108189152,2.23282861745433,0.889501656567128,1.27965935771632,0.353687507107708,3.21445657695355,1.10775430498865,1.68906121662957,0.531393334719368,1.4220311516196,1.17574703765813,0.713120082528415,2.92912614477692,1.00734822036778,1.05132364897803,1.47606033868677,0.531734313176122,0.995111726567142,0.94086216969121,0.478709863306764,3.42211377789745,0.554268260316188,1.26210091324011,1.81920959030976,0.563202785502231,0.499304613968171,0.355590637134642,1.14237289121241,0,0.470666763323398,0.284141902872783,0.842518049672083,0.484924737608613,1.58994167241608,4.22443070542967,1.31362795700574,0.502757606519771,0.490004599717777,1.31386831192761,2.28208341275181,0.407212592908989,1.92686692341636,6.03515215402491,1.53421833145558,1.07053330552441,2.23801472962039,2.13055373993147,0.867520976972292,0.960788561110626,2.71910277443576,0.882286006774526,1.56639863252248,0.141404865134777,1.07637234900391,1.27556045681582,1.85071531728448,1.00250334316026,2.46478531141885,1.12347835304518,4.10241909814216,1.81317514281779,1.01181830097679,1.49155101985094,0
"Overall1","Otu00002",1,2,6.75687821684524,4.67036112122299,0.863642032635003,0.666666666666667,40.7346160436797,100,83.8698180160527,7.33807363691642,0,7.2321302723639,0,22.7804574756532,6.88468584277627,0,11.9042421710364,6.67247205836996,77.6678014706599,11.6284144333537,16.9851402120574,15.2678877894431,6.15387241931515,6.38899293368666,0,5.06716270095219,11.3538298065913,0,5.04472219721904,62.9460897953106,6.52739180106856,12.4378469443858,0,28.8471799422739,2.78824559982856,1.82587223661345,13.3058197466183,1.4780245418651,0,0,49.729441955843,24.115634969787,30.979078906268,48.2809377619609,0,22.2820163238638,8.49690895949468,18.6180460790769,4.37525634062031,0.265218452397641,3.19439403253122,51.7706970139143,2.25775882763657,6.80891270785319,46.9454098300179,8.19397410746339,0,0,32.233290566265,8.80006703058842,23.2734483263341,7.84424708617748,5.65675993307217,30.5033018939216,23.3259519369601,0,73.1277161968182,16.4186015759133,0.566328207571465,34.0658198910599,4.84585697632927,36.22227777572,0,4.5693340891947,8.48492824103138,3.13661213474245,0.671110169399556,0,0,2.34536039573426,0.986935797101892,0,0,1.95187469033376,0,1.29380633360518,0,2.39752971279308,4.25719116268448,1.87577764370468,1.03654873417276,0,0.727517162445529,0,3.33702051743511,0,2.83418808908902,0,0,0,2.36194967248214,0,0.938226826477897,2.62595045519314,0,0.533571757646796,0,3.18777137196416,1.10849419205127,1.05677177174569,4.21656808487569,0.841684300061002,0,3.81017400825827,5.35695638380282,2.11760695929901,0,0,8.06761995995653,0,1.71199125295828,1.95225088237803,3.00308914499938,0.958876892429089,0,1.15156961700186,1.97014589202982,0,0,1.61141162727641,0,3.60699434714626,0,2.64426166794678,1.51876539203288,1.87163750369181,1.77718007670107,0,0.0927450861261047,0
"Overall2","Otu00002",1,3,9.76496497944577,6.24215885264762,0.753947201750417,0.666666666666667,45.5663352446056,34.4369072937765,81.1630493769717,27.6672505222074,12.705955050393,7.28657456284085,14.400265994457,3.77138744804446,3.57498743390232,2.16722078767723,0.745494481367473,4.81723273179675,67.7352827001444,0.943060940017427,1.45461418820329,6.87248504653029,6.6039714589027,0.293949218829926,1.88550012190076,4.63504483540232,2.08797269539381,2.55055399541032,5.25648465895237,50.1904577358753,1.27072992050325,1.78947295740878,3.68427764601391,9.13577445322875,0.0106877438081733,2.21431719384174,25.7437144738037,2.71516574720555,1.83219505526544,4.17260356540865,11.2571842392848,3.4512377354808,8.46467740525738,100,4.10476428291204,1.15708062837549,6.84213072566523,13.0772809270529,3.33969426210206,3.49987657704722,0.79596267312655,50.3127812752605,4.32908792508524,0,0,11.7123135048474,7.52205979115701,3.9103972402523,13.4562602410726,1.2042176164062,21.2095837943866,5.32948793017303,6.71269078464052,25.9697874040632,19.0166775992375,4.30094644923978,18.2470808929465,3.68603250251352,0.233782584088482,30.0076321920275,0.923876063335941,0.937459728166016,0,0,3.11198510868587,0,0.214152073891728,0,1.57607360382292,4.20577660042312,0.70698877932884,0,0,0,0,4.79620945450979,0,0,11.0436035810067,0.324400996838474,0,0,1.62696076445525,0,0.944560506707372,0,0,0,0,0,0,0,0,11.3788253505611,0,0,0,0,0,5.14006419187702,11.0682634670102,9.93322232227443,0,0,0,0,0,0,14.8120956891843,0,0,0,0,0,0,0,0,2.43127535178231,0,0,0,3.67122579626923,0,6.37130901724144,0,0,6.64300734412996,0,0,0
"Overall3","Otu00002",1,4,14.2099309433562,8.22854800922507,0.420639851225828,0.777777777777778,58.2005426442043,51.1166395488048,96.8887701177791,0,0,46.0007072671427,0,0,6.28156871327614,0,7.63430534526055,0,0,62.4644639918747,23.1971006113936,67.7450379496595,13.9528399454769,0,0,0,64.8087523304732,0,0,59.135946723478,0,0,0,34.0171127139088,0,11.5195058774475,22.9438146652989,0,0,0,23.3677079844008,31.5553328252159,30.3520421931539,100,0,0,8.62951187073563,0,0,0,0,36.1672871105707,13.4497714371312,39.8889396511024,0,15.4890630271591,0,0,76.1826371436025,0,67.7258685953759,7.6195352527779,0,38.1927111463291,13.7384338463284,0,44.4774523214511,0,0,63.838769169038,9.32947496883381,0,0,3.11470958198229,2.67446100235193,2.28964414481419,1.85596111048134,3.28185171041514,1.46642589303268,5.54253993696164,0.835277234522993,1.2907090589599,0.94347668676353,1.21350834192998,0.95664877932568,1.81705700245644,2.3496055838481,0.88923446747191,4.03388458813786,1.52594002415737,0.757682276023501,0.280033216726332,0.947797650210374,0.867717354208073,1.70572135503442,0.870624688694972,2.63279344036433,0,0.980556324111732,0.486569156838869,1.01437636699598,0.322418806489619,0.519327634360913,3.59081816893321,0,1.10411335485814,0.814540617412298,1.11242367266898,1.12040000886496,1.52273558160271,4.42188134794672,1.42082180470666,0,1.00762647089757,3.03822610547159,2.16999871466169,0.20122399860526,1.13492199814055,3.01980335541449,0.270009062176047,2.00753218803939,1.30403959284086,1.43074876355216,2.77968036082437,1.06740530635048,3.78695027747273,1.53237175193892,1.34906241363924,0,2.93955976229269,0.884286788632296,1.42434081752086,0,1.71392790616823,0,1.48685276243307,1.86556070194072,0.230890495987236,0.780692430333804,0
"Overall4","Otu00002",1,5,16.0692984714902,7.81318248631077,0.00180336039501088,0.75,48.2355063439464,0,100,0,0,0,0,0,0,0,23.9273295334174,0,63.8490639893672,6.87125286112217,55.6134715006657,0,0,0,0,13.1340345720763,0,0,0,78.2113283997039,3.88776022705184,0,0,21.3992064526857,0,0,3.36174513203381,0,0,1.10950147334505,27.8308633289057,5.67296418560656,4.73607038386962,69.2442781716773,0,12.9269971716634,0,0,0,0,0,18.6841048057686,5.9817227203368,1.47386894954275,0,0,0,0,21.7731605821929,35.1833297887705,16.3316621710962,0,0,31.6360065258539,0,0,41.1883179145605,0,0,15.1575352658322,0,0,0,0,4.38469646399999,8.72198301798983,0,0,0,0,0,0,0,0,0,12.9623689204147,0,0,12.8309248540396,0,0,0,1.45675196895326,0,0,0,0,0,6.2534579772249,0,0,0,0,0,0,0,0,0,0,0,17.4299932505538,0,0,0,0,0,0,0,10.4523969741044,0,0,5.6023815030586,0,0,0,0,0,0,0,0,0,0,0,19.9050450696609,0,0,0,0,0,0
"Overall5","Otu00002",2,1,6.90093925805987,5.51447735695485,0.765709731125877,0.666666666666667,30.8630077517822,44.629255305647,100,0,12.4516905234558,5.79376442317591,0,13.2441547625191,7.60867912506256,0,2.64187489049443,0,35.0485893868069,6.14585649472727,5.0405612263768,7.81304994497996,10.0355509704158,0,0,0,6.14231639888789,0,0,44.3469253576064,0.0811761777672778,13.1309228511932,0,15.3366982148171,0,0.479335004182313,0,0,4.17805239521046,0,13.3783372257834,1.36534136020782,7.45957255268846,35.480503307592,4.80485585555166,12.1653645805104,0,0,0,0,0,72.8525722540964,0,1.60084094393043,0,0,0,0,11.8260532813155,5.16104122668211,11.7085602640469,4.16398698433632,0,9.25915413070343,16.5920253671389,0,40.0229032868595,2.59019415254526,0.816469192319393,22.7293131917612,0,0,0,3.14968926053523,2.05125345242995,3.28536509012214,0.343202661481496,2.26848103514959,0.497827814335538,0.858310155149628,0,3.42053121268267,1.58860010604092,1.0770944131953,0.643551345198317,1.36055014615752,1.70813301076747,1.19533103315486,2.59347247293795,0.741596998618723,0.902816145042916,0.139984885992815,0.498208252314764,1.02021817648665,0.842556572223462,0.61709997624304,4.48147478285833,0,1.49126348689489,1.8712258741645,0.199832313733669,0.495999103627336,0.173593224416049,1.25066481874337,0,0.0739656374748535,0,0.579220147417133,1.15829861554321,2.65177670405179,7.29421263459344,1.48153049853293,0,0.20227888170282,0.761853189996989,0.82728205093812,0.222536321294499,2.13685747477868,7.24801055182183,1.99335052736481,1.38947748623739,1.76245475603255,1.83683130027408,0.870975760317572,0.740417525314554,5.26298682213574,0.719456358318348,3.88490964713273,0.0883681503598116,0.702210297305847,2.20683043317737,2.06098559952856,1.18818504621907,1.38745102399709,1.07951048951425,3.40475332453386,2.63332527020492,1.38176965318607,0,0
"Overall6","Otu00002",2,2,33.5288627298035,18.8983012458096,0.096801260079827,0.555555555555556,17.5007223047028,100,40.9146638841702,16.3315374150644,0,5.50515797810589,0,5.49862070353409,3.2057158370808,0,2.13609861462527,0,59.2792978193748,3.73773510524734,12.238618487212,1.96797000178842,2.37971018859528,3.9385812835302,0,0,4.26448958337286,0.820486087183809,4.67750584128845,42.6912248579772,2.87569109146483,0,0,12.1385759998463,0,2.3548733295653,14.9065741491801,0,0,0,34.877647361565,22.4642786018688,8.12366451738941,48.0445823518072,0,0,5.79193841619614,8.04477571610571,0,0,0,17.1222190967039,5.99884699265207,2.77397948399374,0,10.1012253569408,0,0,7.74060076461746,0,6.4580223878828,2.71265079501945,0,8.3301304627176,3.95067516541554,0,40.2684024825355,2.84441902760532,0,7.07381245820646,2.42635719020202,5.60087824934178,0,6.08176120233637,3.86615970331586,2.42321866182297,1.11026047416556,0,0.84349993085122,1.72841732524343,0.675971498517748,1.58016403885951,0.213257255023294,1.01547565807581,0.804166832248733,1.48298426922859,0,0.594267288504321,3.93721830524711,1.8026398732817,1.06819348561428,0,0.709962781774546,0,2.93621258641641,0,3.76586135942418,0,0,1.3042880325109,1.19886628378291,0,1.49535287961359,3.15611791728149,0,1.12886911106813,0,1.81686029373746,1.55983730871101,1.50762048583086,5.40421671248548,0.565024483457603,0,2.64730477281853,3.27372878630289,2.32860692294857,0,0,5.63817416033817,0.00979135047305181,3.39470966152249,1.4730453097285,1.68085944306632,1.5609252140001,0,3.99852754735724,0,1.10825807497877,0,1.95785183660371,1.4681129256975,2.70932522401406,0,2.19598445404213,1.65303488660994,2.8129120726998,1.79296284749165,1.08171590706528,1.43742256381024,0
"Overall7","Otu00002",2,3,9.41636366902954,6.9117981250007,0.816002973912391,0.555555555555556,43.4177971920373,33.8789165680727,86.6433214829753,6.97982543862094,23.101871838541,3.68853470433686,0,4.12364950805295,2.48101474258111,0,0,0,63.912753547485,9.36849196154837,13.6721053741549,10.3131735078254,6.40005530702087,2.72385298441253,0,3.63544688075323,3.60240185078591,0,0,52.0872604476861,0.0063275027795436,5.91019432892112,0.552474114882684,7.88238994619172,2.89224891926484,7.62086441237546,27.1873336353317,3.43549434792441,0,0,11.2560677653275,6.63953002374947,26.8201340514312,100,22.6633047439761,0,0,0,0,1.01850284634659,5.72795076272948,52.4826659503611,7.10357933314234,5.08361767828853,0,3.72289159207108,0,0,23.4464689648491,5.97576985222937,45.4725802150651,6.70711890081486,0,13.6479301621697,13.1275550878875,0,14.2328175316135,0,0,32.8231116763726,0,0,0,3.55110929189016,1.26200032121287,2.50175616338924,0.413976166931469,0.881395215700746,0.743717043236576,1.03821728554048,0.220243533059191,1.58424951959273,0.256415151287374,1.18590584081389,0.110104522131135,1.70912648560168,0,1.11393468045801,5.54147067967765,0.295907620293153,0.0370892189705814,0.321066885111275,0.300515734424587,0.607202272518521,1.37741896371886,0,2.56307828243072,0.252083727277669,1.38746603032575,1.47947089487402,0.277026944928156,0.335986432334322,0,3.16887306792229,0,0.0839665447922453,0,0.585605814501755,1.55970496166906,2.50106808393121,11.7024234959298,5.04846244082215,0,0.444979656579434,0.627198581171242,1.28615304507129,0.0306647811146778,0.919971875621971,9.20702993084336,1.09834638509929,2.31857717901405,0.394104363212429,4.10783223220453,0.646197943227209,1.52751990930602,4.23624113761434,1.10165937229326,1.23857642929052,0,0.637759996008677,1.11713377660436,1.01800515311981,0,3.3913404167275,0,3.52366296666702,1.38864949788022,1.2166045386837,2.52375151534579,0
"Overall8","Otu00002",2,4,15.5054728731543,9.61217401098501,0.413501454643432,0.555555555555556,90.9378550135497,0,91.107871987874,0,0,0,37.7904857570322,0,5.94367486495536,12.1740597676282,5.03009275266701,0,0,39.4051234710916,36.9656334991261,28.2183929345484,8.28953005470418,0,0,6.52045678335701,56.6253787053746,0,0,100,0,0,0,30.2500433341103,6.46625515618576,5.41407458359061,0,0,0,15.4877743094148,26.9517926510141,29.2583224526606,8.72312317766841,59.6887304492659,0,7.50197221013219,0,0,0,0,0,39.1301095644289,18.1445239808825,11.8107212036382,0,16.1350703600098,0,0,47.2314119838387,14.9739280663826,19.0369007175068,0,0,51.7356326075703,27.5989525942332,0,32.9641365395003,0,0,33.8104381318137,7.51640468911343,0,0,7.19629412619116,3.39036175159042,1.21156035487998,0.902713807459667,2.79270170311533,0.159401508667576,7.52938940077183,0.155841906727826,1.12858574376416,0.594260959670159,0.658258359979579,0.384572896360715,0.510031579591835,1.32441957179802,0.398681101121515,16.1177780835415,0.279687420966878,0.540014108608723,0.534049010788995,0.670551382906599,1.10941874852366,0.882349657952465,0.365035496364066,2.25703358223235,0.334698036522948,0,0.434569830378489,0.256810311860309,0.0826152692614934,0,3.60335290228951,0,0.196222984341237,0.491154255575594,0.184384898360354,0.375699837190586,0.529359344011269,7.39997754422494,0.589930870914004,0,0.544818400527535,1.78923294899262,1.04348824122091,0.0624450256701692,0.572312430417402,4.60818058746574,0.630342959656286,1.23360186865941,0.580215099443696,0.962491968212073,12.486227227133,0.374354223688286,2.97335827111426,0.301163340600524,0.379644017535844,0,1.67894848307388,0.265851569057818,0.645653899916741,0.151059699458843,0.568273562237163,0.990238814093755,0.421543435087263,0.54699030853636,0.324199460713926,0.293595808980688,0
"Overall9","Otu00002",2,5,9.81579821682952,5.84183930128148,0.523552518383569,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5873742695921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4.17027014595975,3.50615031172234,4.0767979352239,0.0836633314154727,0,0,2.76142784748161,2.4764555537994,1.62065571101058,0,2.18373537589558,0,7.35559360749649,0,3.95191253102382,5.78239492666625,2.23134549241991,0.784223888615533,0,1.70463962410812,0,1.00526373017766,0,3.5673968246527,0,5.29166849981783,0,3.64856436200159,0,0,0,0,0,0,4.07058282644739,0,0.243656730758673,5.89034836727236,0,0,0,2.8669944032922,0,0,0,7.61273072853776,0,0,1.74559712982001,0,1.74030870665328,0,0,0,0,0,0,3.04376685471,3.07054169733655,0,11.7625208850309,0,0,1.75079197065228,0,0,0
