"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue"
"20160223_D1.fcs","Otu00002",1,1,"Absent","Absent",0.0427045042612886,0,0.000698812019566737
"20160411_D3.fcs","Otu00002",1,1,"Absent","Absent",0.0340386603593456,0,0.00142599106378933
"20160522_D3.fcs","Otu00002",1,1,"Present","Absent",0.0882798521355942,0.0882798521355942,0.0046259842519685
"20160411_D1.fcs","Otu00002",1,1,"Absent","Absent",0.0704244822987938,0,0.0079130517685194
"20160223_C2.fcs","Otu00002",1,1,"Absent","Present",0.0184190080349055,0,0.0130890052356021
"20160324_C2.fcs","Otu00002",1,1,"Present","Present",0.0306440419081499,0.0306440419081499,0.0243573697891595
"20160522_C1.fcs","Otu00002",1,1,"Present","Present",0.163446615648707,0.163446615648707,0.0328986366330765
"20160307_C1.fcs","Otu00002",1,1,"Present","Present",0.13191022990839,0.13191022990839,0.181906425936711
"20160513_C2.fcs","Otu00002",1,1,"Present","Present",0.485089164264786,0.485089164264786,0.436372453928225
"20160321_D2.fcs","Otu00002",1,2,"Absent","Absent",0.0090761566413827,0,0.000971911750413063
"20160502_D1.fcs","Otu00002",1,2,"Absent","Absent",0.0226089229726321,0,0.00152817574021012
"20160324_C1.fcs","Otu00002",1,2,"Present","Absent",0.0319802678987187,0.0319802678987187,0.00517426535194767
"20160321_C2.fcs","Otu00002",1,2,"Present","Absent",0.0717169910265297,0.0717169910265297,0.00881310470351566
"20160505_D2.fcs","Otu00002",1,2,"Absent","Present",0.0358257952136516,0,0.0170326287707778
"20160229_D3.fcs","Otu00002",1,2,"Present","Present",0.190931988735409,0.190931988735409,0.0246448245868368
"20160401_C1.fcs","Otu00002",1,2,"Present","Present",0.114479337544683,0.114479337544683,0.0351633611190955
"20160229_D2.fcs","Otu00002",1,2,"Present","Present",0.324093272157972,0.324093272157972,0.360978462138193
"20160411_C1.fcs","Otu00002",1,2,"Present","Present",0.42455368061367,0.42455368061367,0.453155245838173
"20160324_D2.fcs","Otu00002",1,3,"Present","Absent",0.0361172374130678,0.0361172374130678,0.00106177606177606
"20160401_D2.fcs","Otu00002",1,3,"Absent","Absent",0.0209605980514679,0,0.00164744645799012
"20160422_D2.fcs","Otu00002",1,3,"Absent","Absent",0.0164896053609243,0,0.00622628660375523
"20160502_D3.fcs","Otu00002",1,3,"Absent","Present",0.00443352158320421,0,0.0102216278181123
"20160321_D1.fcs","Otu00002",1,3,"Absent","Present",0.000151676701965012,0,0.0200249113729999
